platform,算法名,work_scale,repeats,baseline_mean_s,prio_mean_s,improvement_ratio,delta_mean_s,baseline_total_s,prio_total_s,baseline_min_s,baseline_max_s,prio_min_s,prio_max_s,cpu_set,cores_per_task,created_at,out_dir
rk3588实验结果(zhang1),cpf,2,100,0.504551091,0.539185298,-0.068643606,0.034634206,50.455109126,53.918529754,0.462080191,0.623789742,0.529877857,0.586492351,"0,1",2,2026-03-16T07-38-21+00-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/rk3588实验结果/实验结果汇总/rk3588实验结果(zhang1)/zhang1(algo5)/web_tasks/2026-03-16T07-38-21+00-00_ws2_r100
rk3588实验结果(zhang1),heft,2,100,0.514112969,0.447414289,0.129735454,-0.066698679,51.411296858,44.741428922,0.441609566,0.616700936,0.435130483,0.479796303,"0,1",2,2026-03-16T07-35-04+00-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/rk3588实验结果/实验结果汇总/rk3588实验结果(zhang1)/zhang1(algo5)/web_tasks/2026-03-16T07-35-04+00-00_ws2_r100
rk3588实验结果(zhang1),zhao2020,2,100,0.527795196,0.451694666,0.144185719,-0.076100530,52.779519597,45.169466629,0.438434082,0.649874344,0.435303051,0.477818626,"0,1",2,2026-03-16T07-31-50+00-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/rk3588实验结果/实验结果汇总/rk3588实验结果(zhang1)/zhang1(algo5)/web_tasks/2026-03-16T07-31-50+00-00_ws2_r100
rk3588实验结果(zhang1),t_level,2,100,0.529496085,0.451294578,0.147690434,-0.078201507,52.949608493,45.129457837,0.456002262,0.621360514,0.431548105,0.482406284,"0,1",2,2026-03-16T07-36-41+00-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/rk3588实验结果/实验结果汇总/rk3588实验结果(zhang1)/zhang1(algo5)/web_tasks/2026-03-16T07-36-41+00-00_ws2_r100
rk3588实验结果(zhang1),wcet_first,2,100,0.489115585,0.440754759,0.098874023,-0.048360826,48.911558519,44.075475945,0.437569663,0.584149683,0.434903316,0.500594956,"0,1",2,2026-03-16T07-33-29+00-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/rk3588实验结果/实验结果汇总/rk3588实验结果(zhang1)/zhang1(algo5)/web_tasks/2026-03-16T07-33-29+00-00_ws2_r100
rk3588实验结果(zhang2第二次),cpf,2,100,1.639582762,1.644254496,-0.002849343,0.004671734,163.958276217,164.425449593,1.615831196,1.694909172,1.608746594,1.893568725,"0,1",2,2026-03-16T08-28-19+00-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/rk3588实验结果/实验结果汇总/rk3588实验结果(zhang2第二次)/web_tasks/2026-03-16T08-28-19+00-00_ws2_r100
rk3588实验结果(zhang2第二次),heft,2,100,1.640847375,1.644588687,-0.002280109,0.003741311,164.084737532,164.458868680,1.616905849,1.673542657,1.612791328,1.841693427,"0,1",2,2026-03-16T08-50-18+00-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/rk3588实验结果/实验结果汇总/rk3588实验结果(zhang2第二次)/web_tasks/2026-03-16T08-50-18+00-00_ws2_r100
rk3588实验结果(zhang2第二次),zhao2020,2,100,1.639793531,1.644921764,-0.003127365,0.005128233,163.979353102,164.492176448,1.617430660,1.682291755,1.609815227,1.798512121,"0,1",2,2026-03-16T08-39-18+00-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/rk3588实验结果/实验结果汇总/rk3588实验结果(zhang2第二次)/web_tasks/2026-03-16T08-39-18+00-00_ws2_r100
rk3588实验结果(zhang2第二次),t_level,2,100,1.636346137,1.642743479,-0.003909529,0.006397342,163.634613663,164.274347852,1.614852999,1.676813559,1.610346613,1.807005021,"0,1",2,2026-03-16T08-33-49+00-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/rk3588实验结果/实验结果汇总/rk3588实验结果(zhang2第二次)/web_tasks/2026-03-16T08-33-49+00-00_ws2_r100
rk3588实验结果(zhang2第二次),wcet_first,2,100,1.642970211,1.644199754,-0.000748366,0.001229544,164.297021063,164.419975443,1.615339262,1.708188679,1.610306610,1.775400524,"0,1",2,2026-03-16T08-44-48+00-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/rk3588实验结果/实验结果汇总/rk3588实验结果(zhang2第二次)/web_tasks/2026-03-16T08-44-48+00-00_ws2_r100
rk3588实验结果(zhang3第一次),cpf,2,100,0.893626379,0.906688729,-0.014617239,0.013062351,89.362637872,90.668872923,0.856924691,0.967721048,0.855116577,1.072795542,"1,2",2,2026-03-16T09-03-20+00-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/rk3588实验结果/实验结果汇总/rk3588实验结果(zhang3第一次)/web_tasks/2026-03-16T09-03-20+00-00_ws2_r100
