platform,算法名,work_scale,repeats,baseline_mean_s,prio_mean_s,improvement_ratio,delta_mean_s,baseline_total_s,prio_total_s,baseline_min_s,baseline_max_s,prio_min_s,prio_max_s,cpu_set,cores_per_task,created_at,out_dir
zhang1(algo_5),cpf,100,100,2.278828876,2.270835158,0.003507818,-0.007993718,227.882887592,227.083515799,2.072846838,2.527526582,2.111418143,2.866185862,"1,2",2,2026-03-16T11-07-58+08-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/algo_5/zhang1(algo_5)/web_tasks/2026-03-16T11-07-58+08-00_ws100_r100
zhang1(algo_5),heft,100,100,2.328102501,2.181108274,0.063139070,-0.146994227,232.810250100,218.110827365,2.059963368,2.624882202,2.070380938,2.326356130,"1,2",2,2026-03-15T06-06-47-07-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/algo_5/zhang1(algo_5)/web_tasks/2026-03-15T06-06-47-07-00_ws100_r100
zhang1(algo_5),t_level,100,100,2.330938481,2.179736001,0.064867641,-0.151202480,233.093848142,217.973600107,2.105900338,2.587612886,2.019771524,2.367945372,"1,2",2,2026-03-15T06-31-08-07-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/algo_5/zhang1(algo_5)/web_tasks/2026-03-15T06-31-08-07-00_ws100_r100
zhang1(algo_5),wcet_first,100,100,2.263299283,2.148137876,0.050882094,-0.115161406,226.329928272,214.813787645,2.038390278,2.466320815,2.057516984,2.341942638,"1,2",2,2026-03-15T06-21-57-07-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/algo_5/zhang1(algo_5)/web_tasks/2026-03-15T06-21-57-07-00_ws100_r100
zhang1(algo_5),zhao2020,100,100,2.377122514,2.204368307,0.072673666,-0.172754207,237.712251388,220.436830704,2.146276639,2.592367265,2.077909568,2.388070552,"1,2",2,2026-03-15T06-14-18-07-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/algo_5/zhang1(algo_5)/web_tasks/2026-03-15T06-14-18-07-00_ws100_r100
zhang2(algo_5),cpf,2,100,0.175994177,0.171218454,0.027135688,-0.004775723,17.599417670,17.121845370,0.157521896,0.250865100,0.155347595,0.223854927,"1,2",2,2026-03-15T07-30-34-07-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/algo_5/zhang2(algo_5)/web_tasks/2026-03-15T07-30-34-07-00_ws2_r100
zhang2(algo_5),heft,2,100,0.177698467,0.172344455,0.030129763,-0.005354013,17.769846733,17.234445465,0.156285252,0.217998017,0.155227195,0.221505062,"1,2",2,2026-03-15T07-31-09-07-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/algo_5/zhang2(algo_5)/web_tasks/2026-03-15T07-31-09-07-00_ws2_r100
zhang2(algo_5),t_level,2,100,0.172504930,0.167530812,0.028834641,-0.004974118,17.250493014,16.753081248,0.154180953,0.239342993,0.150249454,0.208888320,"1,2",2,2026-03-15T07-32-19-07-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/algo_5/zhang2(algo_5)/web_tasks/2026-03-15T07-32-19-07-00_ws2_r100
zhang2(algo_5),wcet_first,2,100,0.171176918,0.167595468,0.020922508,-0.003581450,17.117691807,16.759546760,0.155991189,0.206969470,0.153249823,0.214940894,"1,2",2,2026-03-15T07-32-53-07-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/algo_5/zhang2(algo_5)/web_tasks/2026-03-15T07-32-53-07-00_ws2_r100
zhang2(algo_5),zhao2020,2,100,0.172671724,0.167919724,0.027520426,-0.004751999,17.267172371,16.791972436,0.153899277,0.229563190,0.150294219,0.213834165,"1,2",2,2026-03-15T07-31-45-07-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/algo_5/zhang2(algo_5)/web_tasks/2026-03-15T07-31-45-07-00_ws2_r100
