program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,1.943964784,1.943964784,0,"0,1"
prio,0,1.897554970,1.897554970,0,"0,1"
baseline,1,1.978558499,1.978558499,0,"0,1"
prio,1,1.909179031,1.909179031,0,"0,1"
baseline,2,1.999313801,1.999313801,0,"0,1"
prio,2,1.925236078,1.925236078,0,"0,1"
baseline,3,1.938108715,1.938108715,0,"0,1"
prio,3,1.930224610,1.930224610,0,"0,1"
baseline,4,2.157591071,2.157591071,0,"0,1"
prio,4,2.069135485,2.069135485,0,"0,1"
baseline,5,1.965363312,1.965363312,0,"0,1"
prio,5,2.048096054,2.048096054,0,"0,1"
baseline,6,2.019716095,2.019716095,0,"0,1"
prio,6,1.957473338,1.957473338,0,"0,1"
baseline,7,2.053922362,2.053922362,0,"0,1"
prio,7,1.965965733,1.965965733,0,"0,1"
baseline,8,2.037793544,2.037793544,0,"0,1"
prio,8,1.925554678,1.925554678,0,"0,1"
baseline,9,2.070770856,2.070770856,0,"0,1"
prio,9,1.948359626,1.948359626,0,"0,1"
baseline,10,1.995588948,1.995588948,0,"0,1"
prio,10,1.873067324,1.873067324,0,"0,1"
baseline,11,2.104760486,2.104760486,0,"0,1"
prio,11,1.949763073,1.949763073,0,"0,1"
baseline,12,2.149530319,2.149530319,0,"0,1"
prio,12,1.957414750,1.957414750,0,"0,1"
baseline,13,2.117641325,2.117641325,0,"0,1"
prio,13,1.923997810,1.923997810,0,"0,1"
baseline,14,2.110802426,2.110802426,0,"0,1"
prio,14,1.898208028,1.898208028,0,"0,1"
baseline,15,1.885278571,1.885278571,0,"0,1"
prio,15,1.878936756,1.878936756,0,"0,1"
baseline,16,1.918427630,1.918427630,0,"0,1"
prio,16,1.875644724,1.875644724,0,"0,1"
baseline,17,1.990455379,1.990455379,0,"0,1"
prio,17,1.907854778,1.907854778,0,"0,1"
baseline,18,1.938157714,1.938157714,0,"0,1"
prio,18,1.870210868,1.870210868,0,"0,1"
baseline,19,1.944018041,1.944018041,0,"0,1"
prio,19,1.883686139,1.883686139,0,"0,1"
baseline,20,1.955251406,1.955251406,0,"0,1"
prio,20,1.860621483,1.860621483,0,"0,1"
baseline,21,1.911244476,1.911244476,0,"0,1"
prio,21,1.897328582,1.897328582,0,"0,1"
baseline,22,1.914278460,1.914278460,0,"0,1"
prio,22,1.902379494,1.902379494,0,"0,1"
baseline,23,1.965913393,1.965913393,0,"0,1"
prio,23,1.919300400,1.919300400,0,"0,1"
baseline,24,1.961946665,1.961946665,0,"0,1"
prio,24,1.915640841,1.915640841,0,"0,1"
baseline,25,1.970043888,1.970043888,0,"0,1"
prio,25,1.947214055,1.947214055,0,"0,1"
baseline,26,2.047290283,2.047290283,0,"0,1"
prio,26,1.921784154,1.921784154,0,"0,1"
baseline,27,2.018725274,2.018725274,0,"0,1"
prio,27,1.950921818,1.950921818,0,"0,1"
baseline,28,1.885024323,1.885024323,0,"0,1"
prio,28,1.969334568,1.969334568,0,"0,1"
baseline,29,1.893213939,1.893213939,0,"0,1"
prio,29,1.892176902,1.892176902,0,"0,1"
baseline,30,2.037897787,2.037897787,0,"0,1"
prio,30,1.913710223,1.913710223,0,"0,1"
baseline,31,2.036886359,2.036886359,0,"0,1"
prio,31,1.926853654,1.926853654,0,"0,1"
baseline,32,1.943123494,1.943123494,0,"0,1"
prio,32,1.854316719,1.854316719,0,"0,1"
baseline,33,1.923828551,1.923828551,0,"0,1"
prio,33,1.891023695,1.891023695,0,"0,1"
baseline,34,1.888443392,1.888443392,0,"0,1"
prio,34,1.890925826,1.890925826,0,"0,1"
baseline,35,1.910370300,1.910370300,0,"0,1"
prio,35,1.913198255,1.913198255,0,"0,1"
baseline,36,1.925890733,1.925890733,0,"0,1"
prio,36,1.866177716,1.866177716,0,"0,1"
baseline,37,1.946786016,1.946786016,0,"0,1"
prio,37,1.914460379,1.914460379,0,"0,1"
baseline,38,2.027738627,2.027738627,0,"0,1"
prio,38,1.898741088,1.898741088,0,"0,1"
baseline,39,1.990695429,1.990695429,0,"0,1"
prio,39,1.891764052,1.891764052,0,"0,1"
baseline,40,1.844748188,1.844748188,0,"0,1"
prio,40,1.872529945,1.872529945,0,"0,1"
baseline,41,1.911991882,1.911991882,0,"0,1"
prio,41,1.925456016,1.925456016,0,"0,1"
baseline,42,1.946778404,1.946778404,0,"0,1"
prio,42,1.889904887,1.889904887,0,"0,1"
baseline,43,1.907154275,1.907154275,0,"0,1"
prio,43,1.838703690,1.838703690,0,"0,1"
baseline,44,1.866205620,1.866205620,0,"0,1"
prio,44,1.875608587,1.875608587,0,"0,1"
baseline,45,1.908523192,1.908523192,0,"0,1"
prio,45,1.844878032,1.844878032,0,"0,1"
baseline,46,2.057706040,2.057706040,0,"0,1"
prio,46,1.933761039,1.933761039,0,"0,1"
baseline,47,1.982606920,1.982606920,0,"0,1"
prio,47,2.031167665,2.031167665,0,"0,1"
baseline,48,1.997420414,1.997420414,0,"0,1"
prio,48,2.048289890,2.048289890,0,"0,1"
baseline,49,2.001250753,2.001250753,0,"0,1"
prio,49,1.948354108,1.948354108,0,"0,1"
