program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,1.455872056,1.455872056,0,"0,1"
prio,0,1.414813553,1.414813553,0,"0,1"
baseline,1,1.525275466,1.525275466,0,"0,1"
prio,1,1.405316499,1.405316499,0,"0,1"
baseline,2,1.474583392,1.474583392,0,"0,1"
prio,2,1.458872955,1.458872955,0,"0,1"
baseline,3,1.614300107,1.614300107,0,"0,1"
prio,3,1.585286157,1.585286157,0,"0,1"
baseline,4,1.471602585,1.471602585,0,"0,1"
prio,4,1.616284518,1.616284518,0,"0,1"
baseline,5,1.744105478,1.744105478,0,"0,1"
prio,5,1.434914027,1.434914027,0,"0,1"
baseline,6,1.473328535,1.473328535,0,"0,1"
prio,6,1.595344998,1.595344998,0,"0,1"
baseline,7,1.667840452,1.667840452,0,"0,1"
prio,7,1.554266930,1.554266930,0,"0,1"
baseline,8,1.628228619,1.628228619,0,"0,1"
prio,8,1.413088394,1.413088394,0,"0,1"
baseline,9,1.813652395,1.813652395,0,"0,1"
prio,9,1.573018274,1.573018274,0,"0,1"
baseline,10,1.594670656,1.594670656,0,"0,1"
prio,10,1.450814731,1.450814731,0,"0,1"
baseline,11,1.587399525,1.587399525,0,"0,1"
prio,11,1.433415523,1.433415523,0,"0,1"
baseline,12,1.626743603,1.626743603,0,"0,1"
prio,12,1.629495444,1.629495444,0,"0,1"
baseline,13,1.520749426,1.520749426,0,"0,1"
prio,13,1.630933083,1.630933083,0,"0,1"
baseline,14,1.810485087,1.810485087,0,"0,1"
prio,14,1.622205581,1.622205581,0,"0,1"
baseline,15,1.508957503,1.508957503,0,"0,1"
prio,15,1.402098921,1.402098921,0,"0,1"
baseline,16,1.793834846,1.793834846,0,"0,1"
prio,16,1.574571633,1.574571633,0,"0,1"
baseline,17,1.497917388,1.497917388,0,"0,1"
prio,17,1.619293138,1.619293138,0,"0,1"
baseline,18,1.452606122,1.452606122,0,"0,1"
prio,18,1.411467281,1.411467281,0,"0,1"
baseline,19,1.488741791,1.488741791,0,"0,1"
prio,19,1.503083659,1.503083659,0,"0,1"
baseline,20,1.566766027,1.566766027,0,"0,1"
prio,20,1.443778491,1.443778491,0,"0,1"
baseline,21,1.571519833,1.571519833,0,"0,1"
prio,21,1.423036403,1.423036403,0,"0,1"
baseline,22,1.485642166,1.485642166,0,"0,1"
prio,22,1.471961659,1.471961659,0,"0,1"
baseline,23,1.521898269,1.521898269,0,"0,1"
prio,23,1.407429780,1.407429780,0,"0,1"
baseline,24,1.553488639,1.553488639,0,"0,1"
prio,24,1.698390427,1.698390427,0,"0,1"
baseline,25,1.462289881,1.462289881,0,"0,1"
prio,25,1.457273764,1.457273764,0,"0,1"
baseline,26,1.540797292,1.540797292,0,"0,1"
prio,26,1.629096775,1.629096775,0,"0,1"
baseline,27,1.685567880,1.685567880,0,"0,1"
prio,27,1.532888945,1.532888945,0,"0,1"
baseline,28,1.491195136,1.491195136,0,"0,1"
prio,28,1.423453367,1.423453367,0,"0,1"
baseline,29,1.492636396,1.492636396,0,"0,1"
prio,29,1.416489370,1.416489370,0,"0,1"
baseline,30,1.454269394,1.454269394,0,"0,1"
prio,30,1.410164614,1.410164614,0,"0,1"
baseline,31,1.568378646,1.568378646,0,"0,1"
prio,31,1.467053607,1.467053607,0,"0,1"
baseline,32,1.471406709,1.471406709,0,"0,1"
prio,32,1.508468091,1.508468091,0,"0,1"
baseline,33,1.643999784,1.643999784,0,"0,1"
prio,33,1.409939889,1.409939889,0,"0,1"
baseline,34,1.463292833,1.463292833,0,"0,1"
prio,34,1.428474190,1.428474190,0,"0,1"
baseline,35,1.624994883,1.624994883,0,"0,1"
prio,35,1.431675869,1.431675869,0,"0,1"
baseline,36,1.625367413,1.625367413,0,"0,1"
prio,36,1.589632449,1.589632449,0,"0,1"
baseline,37,1.648809772,1.648809772,0,"0,1"
prio,37,1.399883520,1.399883520,0,"0,1"
baseline,38,1.542188367,1.542188367,0,"0,1"
prio,38,1.543987610,1.543987610,0,"0,1"
baseline,39,1.522254484,1.522254484,0,"0,1"
prio,39,1.632243478,1.632243478,0,"0,1"
baseline,40,1.532180027,1.532180027,0,"0,1"
prio,40,1.410518587,1.410518587,0,"0,1"
baseline,41,2.781604099,2.781604099,0,"0,1"
prio,41,1.482887630,1.482887630,0,"0,1"
baseline,42,1.569597862,1.569597862,0,"0,1"
prio,42,1.445776451,1.445776451,0,"0,1"
baseline,43,1.461851791,1.461851791,0,"0,1"
prio,43,1.424348553,1.424348553,0,"0,1"
baseline,44,1.537662662,1.537662662,0,"0,1"
prio,44,1.427712829,1.427712829,0,"0,1"
baseline,45,1.475944157,1.475944157,0,"0,1"
prio,45,1.505697799,1.505697799,0,"0,1"
baseline,46,1.548148165,1.548148165,0,"0,1"
prio,46,1.415909305,1.415909305,0,"0,1"
baseline,47,1.456990248,1.456990248,0,"0,1"
prio,47,1.532936382,1.532936382,0,"0,1"
baseline,48,1.521899102,1.521899102,0,"0,1"
prio,48,1.407838438,1.407838438,0,"0,1"
baseline,49,1.474783516,1.474783516,0,"0,1"
prio,49,1.483979874,1.483979874,0,"0,1"
