program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,1.518662045,1.518662045,0,"0,1"
prio,0,1.417522746,1.417522746,0,"0,1"
baseline,1,1.596451232,1.596451232,0,"0,1"
prio,1,1.486784919,1.486784919,0,"0,1"
baseline,2,1.474628927,1.474628927,0,"0,1"
prio,2,1.489114739,1.489114739,0,"0,1"
baseline,3,1.477589644,1.477589644,0,"0,1"
prio,3,1.421567963,1.421567963,0,"0,1"
baseline,4,1.546476149,1.546476149,0,"0,1"
prio,4,1.472765894,1.472765894,0,"0,1"
baseline,5,1.485505288,1.485505288,0,"0,1"
prio,5,1.414721334,1.414721334,0,"0,1"
baseline,6,1.476559359,1.476559359,0,"0,1"
prio,6,1.485389667,1.485389667,0,"0,1"
baseline,7,1.495662475,1.495662475,0,"0,1"
prio,7,1.476945682,1.476945682,0,"0,1"
baseline,8,1.477789490,1.477789490,0,"0,1"
prio,8,1.403353496,1.403353496,0,"0,1"
baseline,9,1.497011919,1.497011919,0,"0,1"
prio,9,1.422166758,1.422166758,0,"0,1"
baseline,10,1.460162775,1.460162775,0,"0,1"
prio,10,1.411270996,1.411270996,0,"0,1"
baseline,11,1.549708099,1.549708099,0,"0,1"
prio,11,1.575749791,1.575749791,0,"0,1"
baseline,12,1.554797947,1.554797947,0,"0,1"
prio,12,1.587695422,1.587695422,0,"0,1"
baseline,13,1.603437077,1.603437077,0,"0,1"
prio,13,1.403212028,1.403212028,0,"0,1"
baseline,14,1.668203020,1.668203020,0,"0,1"
prio,14,1.420972859,1.420972859,0,"0,1"
baseline,15,1.576108948,1.576108948,0,"0,1"
prio,15,1.586432179,1.586432179,0,"0,1"
baseline,16,1.495902829,1.495902829,0,"0,1"
prio,16,1.590605425,1.590605425,0,"0,1"
baseline,17,1.710438206,1.710438206,0,"0,1"
prio,17,1.428867401,1.428867401,0,"0,1"
baseline,18,1.584864962,1.584864962,0,"0,1"
prio,18,1.455710600,1.455710600,0,"0,1"
baseline,19,1.448008649,1.448008649,0,"0,1"
prio,19,1.444320041,1.444320041,0,"0,1"
baseline,20,1.494770459,1.494770459,0,"0,1"
prio,20,1.429726974,1.429726974,0,"0,1"
baseline,21,1.793672600,1.793672600,0,"0,1"
prio,21,1.611781649,1.611781649,0,"0,1"
baseline,22,1.547964728,1.547964728,0,"0,1"
prio,22,1.419661260,1.419661260,0,"0,1"
baseline,23,1.467179937,1.467179937,0,"0,1"
prio,23,1.626341457,1.626341457,0,"0,1"
baseline,24,1.825792021,1.825792021,0,"0,1"
prio,24,1.421206384,1.421206384,0,"0,1"
baseline,25,1.648351421,1.648351421,0,"0,1"
prio,25,1.435525277,1.435525277,0,"0,1"
baseline,26,1.697568357,1.697568357,0,"0,1"
prio,26,1.420338725,1.420338725,0,"0,1"
baseline,27,1.635273524,1.635273524,0,"0,1"
prio,27,1.450896875,1.450896875,0,"0,1"
baseline,28,1.556182037,1.556182037,0,"0,1"
prio,28,1.417289058,1.417289058,0,"0,1"
baseline,29,1.457714004,1.457714004,0,"0,1"
prio,29,1.502662378,1.502662378,0,"0,1"
baseline,30,1.497021144,1.497021144,0,"0,1"
prio,30,1.418601178,1.418601178,0,"0,1"
baseline,31,1.536966348,1.536966348,0,"0,1"
prio,31,1.484338731,1.484338731,0,"0,1"
baseline,32,1.467328861,1.467328861,0,"0,1"
prio,32,1.419650154,1.419650154,0,"0,1"
baseline,33,1.605312066,1.605312066,0,"0,1"
prio,33,1.440671421,1.440671421,0,"0,1"
baseline,34,1.541522177,1.541522177,0,"0,1"
prio,34,1.401763048,1.401763048,0,"0,1"
baseline,35,1.506450002,1.506450002,0,"0,1"
prio,35,1.484466078,1.484466078,0,"0,1"
baseline,36,1.480176520,1.480176520,0,"0,1"
prio,36,1.417291852,1.417291852,0,"0,1"
baseline,37,1.449353911,1.449353911,0,"0,1"
prio,37,1.418875867,1.418875867,0,"0,1"
baseline,38,1.518256878,1.518256878,0,"0,1"
prio,38,1.408345809,1.408345809,0,"0,1"
baseline,39,1.447229976,1.447229976,0,"0,1"
prio,39,1.408305973,1.408305973,0,"0,1"
baseline,40,1.481598221,1.481598221,0,"0,1"
prio,40,1.419521073,1.419521073,0,"0,1"
baseline,41,1.495737676,1.495737676,0,"0,1"
prio,41,1.416857356,1.416857356,0,"0,1"
baseline,42,1.681505296,1.681505296,0,"0,1"
prio,42,1.622789381,1.622789381,0,"0,1"
baseline,43,1.612783755,1.612783755,0,"0,1"
prio,43,1.456127447,1.456127447,0,"0,1"
baseline,44,1.452062724,1.452062724,0,"0,1"
prio,44,1.431437144,1.431437144,0,"0,1"
baseline,45,1.482625877,1.482625877,0,"0,1"
prio,45,1.409784158,1.409784158,0,"0,1"
baseline,46,1.454930237,1.454930237,0,"0,1"
prio,46,1.537589815,1.537589815,0,"0,1"
baseline,47,1.683520399,1.683520399,0,"0,1"
prio,47,1.435603838,1.435603838,0,"0,1"
baseline,48,1.477264347,1.477264347,0,"0,1"
prio,48,1.408242777,1.408242777,0,"0,1"
baseline,49,1.711262035,1.711262035,0,"0,1"
prio,49,1.420209620,1.420209620,0,"0,1"
