program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,6.166248813,6.166248813,0,"0,1"
prio,0,6.512453836,6.512453836,0,"0,1"
baseline,1,6.416854806,6.416854806,0,"0,1"
prio,1,6.926150806,6.926150806,0,"0,1"
baseline,2,5.434223998,5.434223998,0,"0,1"
prio,2,5.365344907,5.365344907,0,"0,1"
baseline,3,5.250881516,5.250881516,0,"0,1"
prio,3,5.621783542,5.621783542,0,"0,1"
baseline,4,5.127716076,5.127716076,0,"0,1"
prio,4,5.083477213,5.083477213,0,"0,1"
baseline,5,5.228629704,5.228629704,0,"0,1"
prio,5,5.952195003,5.952195003,0,"0,1"
baseline,6,5.739041305,5.739041305,0,"0,1"
prio,6,6.160262740,6.160262740,0,"0,1"
baseline,7,5.530933199,5.530933199,0,"0,1"
prio,7,5.523157907,5.523157907,0,"0,1"
baseline,8,5.118879317,5.118879317,0,"0,1"
prio,8,5.024702685,5.024702685,0,"0,1"
baseline,9,5.214307719,5.214307719,0,"0,1"
prio,9,4.936379141,4.936379141,0,"0,1"
baseline,10,5.372233063,5.372233063,0,"0,1"
prio,10,5.040439901,5.040439901,0,"0,1"
baseline,11,5.371079684,5.371079684,0,"0,1"
prio,11,5.044843203,5.044843203,0,"0,1"
baseline,12,5.370447999,5.370447999,0,"0,1"
prio,12,5.091342755,5.091342755,0,"0,1"
baseline,13,5.530116454,5.530116454,0,"0,1"
prio,13,5.439726956,5.439726956,0,"0,1"
baseline,14,5.682687670,5.682687670,0,"0,1"
prio,14,6.336851869,6.336851869,0,"0,1"
baseline,15,5.829553327,5.829553327,0,"0,1"
prio,15,6.357144232,6.357144232,0,"0,1"
baseline,16,5.913389068,5.913389068,0,"0,1"
prio,16,5.070461403,5.070461403,0,"0,1"
baseline,17,5.912137583,5.912137583,0,"0,1"
prio,17,5.133190368,5.133190368,0,"0,1"
baseline,18,6.882273390,6.882273390,0,"0,1"
prio,18,5.108342122,5.108342122,0,"0,1"
baseline,19,5.360454910,5.360454910,0,"0,1"
prio,19,5.123611618,5.123611618,0,"0,1"
baseline,20,5.198259134,5.198259134,0,"0,1"
prio,20,5.562229767,5.562229767,0,"0,1"
baseline,21,5.276227006,5.276227006,0,"0,1"
prio,21,4.997474357,4.997474357,0,"0,1"
baseline,22,5.427486213,5.427486213,0,"0,1"
prio,22,5.527323956,5.527323956,0,"0,1"
baseline,23,5.305627804,5.305627804,0,"0,1"
prio,23,5.722403856,5.722403856,0,"0,1"
baseline,24,5.332843926,5.332843926,0,"0,1"
prio,24,4.989957401,4.989957401,0,"0,1"
baseline,25,5.488160236,5.488160236,0,"0,1"
prio,25,5.713366441,5.713366441,0,"0,1"
baseline,26,5.545202547,5.545202547,0,"0,1"
prio,26,6.277352090,6.277352090,0,"0,1"
baseline,27,5.767506507,5.767506507,0,"0,1"
prio,27,5.126675263,5.126675263,0,"0,1"
baseline,28,6.015483652,6.015483652,0,"0,1"
prio,28,6.028287929,6.028287929,0,"0,1"
baseline,29,5.410535821,5.410535821,0,"0,1"
prio,29,5.055133064,5.055133064,0,"0,1"
baseline,30,5.421830748,5.421830748,0,"0,1"
prio,30,5.683380893,5.683380893,0,"0,1"
baseline,31,5.355415422,5.355415422,0,"0,1"
prio,31,4.959470413,4.959470413,0,"0,1"
baseline,32,5.323821729,5.323821729,0,"0,1"
prio,32,4.960480656,4.960480656,0,"0,1"
baseline,33,5.312749998,5.312749998,0,"0,1"
prio,33,5.060069610,5.060069610,0,"0,1"
baseline,34,5.323052991,5.323052991,0,"0,1"
prio,34,5.276713784,5.276713784,0,"0,1"
baseline,35,5.119176022,5.119176022,0,"0,1"
prio,35,5.061537401,5.061537401,0,"0,1"
baseline,36,5.205452047,5.205452047,0,"0,1"
prio,36,5.612318162,5.612318162,0,"0,1"
baseline,37,5.297274407,5.297274407,0,"0,1"
prio,37,5.038585335,5.038585335,0,"0,1"
baseline,38,5.345754123,5.345754123,0,"0,1"
prio,38,4.960385314,4.960385314,0,"0,1"
baseline,39,5.804790446,5.804790446,0,"0,1"
prio,39,5.148790699,5.148790699,0,"0,1"
baseline,40,5.592920796,5.592920796,0,"0,1"
prio,40,5.077049189,5.077049189,0,"0,1"
baseline,41,5.846000739,5.846000739,0,"0,1"
prio,41,5.065148182,5.065148182,0,"0,1"
baseline,42,5.787590787,5.787590787,0,"0,1"
prio,42,5.070171301,5.070171301,0,"0,1"
baseline,43,5.400530478,5.400530478,0,"0,1"
prio,43,5.713271696,5.713271696,0,"0,1"
baseline,44,5.579469419,5.579469419,0,"0,1"
prio,44,4.983147677,4.983147677,0,"0,1"
baseline,45,5.326835546,5.326835546,0,"0,1"
prio,45,5.702816683,5.702816683,0,"0,1"
baseline,46,5.400685123,5.400685123,0,"0,1"
prio,46,5.544072820,5.544072820,0,"0,1"
baseline,47,5.235425402,5.235425402,0,"0,1"
prio,47,5.534845494,5.534845494,0,"0,1"
baseline,48,5.185417776,5.185417776,0,"0,1"
prio,48,5.035263956,5.035263956,0,"0,1"
baseline,49,5.492480121,5.492480121,0,"0,1"
prio,49,5.123911728,5.123911728,0,"0,1"
