program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,5.894254807,5.894254807,0,"0,1"
prio,0,5.564084783,5.564084783,0,"0,1"
baseline,1,5.946348852,5.946348852,0,"0,1"
prio,1,5.990410881,5.990410881,0,"0,1"
baseline,2,6.083073553,6.083073553,0,"0,1"
prio,2,6.189647120,6.189647120,0,"0,1"
baseline,3,5.999523117,5.999523117,0,"0,1"
prio,3,5.951841368,5.951841368,0,"0,1"
baseline,4,5.342823132,5.342823132,0,"0,1"
prio,4,5.258090407,5.258090407,0,"0,1"
baseline,5,5.395432491,5.395432491,0,"0,1"
prio,5,5.107771972,5.107771972,0,"0,1"
baseline,6,5.434446557,5.434446557,0,"0,1"
prio,6,6.164061862,6.164061862,0,"0,1"
baseline,7,5.808478046,5.808478046,0,"0,1"
prio,7,5.189189379,5.189189379,0,"0,1"
baseline,8,5.802686074,5.802686074,0,"0,1"
prio,8,5.147475977,5.147475977,0,"0,1"
baseline,9,5.425188935,5.425188935,0,"0,1"
prio,9,6.301841503,6.301841503,0,"0,1"
baseline,10,6.111950846,6.111950846,0,"0,1"
prio,10,5.110206995,5.110206995,0,"0,1"
baseline,11,5.560332679,5.560332679,0,"0,1"
prio,11,5.032174725,5.032174725,0,"0,1"
baseline,12,5.416683224,5.416683224,0,"0,1"
prio,12,5.625784812,5.625784812,0,"0,1"
baseline,13,5.392618463,5.392618463,0,"0,1"
prio,13,5.028383704,5.028383704,0,"0,1"
baseline,14,5.298564854,5.298564854,0,"0,1"
prio,14,5.672476573,5.672476573,0,"0,1"
baseline,15,5.186108706,5.186108706,0,"0,1"
prio,15,5.163998249,5.163998249,0,"0,1"
baseline,16,5.721108386,5.721108386,0,"0,1"
prio,16,5.048892377,5.048892377,0,"0,1"
baseline,17,5.346488220,5.346488220,0,"0,1"
prio,17,5.033900580,5.033900580,0,"0,1"
baseline,18,5.405438182,5.405438182,0,"0,1"
prio,18,5.713783204,5.713783204,0,"0,1"
baseline,19,5.300515428,5.300515428,0,"0,1"
prio,19,5.039401146,5.039401146,0,"0,1"
baseline,20,5.077921834,5.077921834,0,"0,1"
prio,20,5.146123024,5.146123024,0,"0,1"
baseline,21,5.531849182,5.531849182,0,"0,1"
prio,21,5.099098814,5.099098814,0,"0,1"
baseline,22,5.394927641,5.394927641,0,"0,1"
prio,22,5.087038486,5.087038486,0,"0,1"
baseline,23,5.634830076,5.634830076,0,"0,1"
prio,23,5.785688390,5.785688390,0,"0,1"
baseline,24,5.846468126,5.846468126,0,"0,1"
prio,24,5.127314227,5.127314227,0,"0,1"
baseline,25,6.210749406,6.210749406,0,"0,1"
prio,25,5.096502756,5.096502756,0,"0,1"
baseline,26,6.293243224,6.293243224,0,"0,1"
prio,26,5.122582759,5.122582759,0,"0,1"
baseline,27,5.597964432,5.597964432,0,"0,1"
prio,27,5.192638335,5.192638335,0,"0,1"
baseline,28,5.710775170,5.710775170,0,"0,1"
prio,28,5.823179648,5.823179648,0,"0,1"
baseline,29,5.384286705,5.384286705,0,"0,1"
prio,29,5.048488608,5.048488608,0,"0,1"
baseline,30,5.384704077,5.384704077,0,"0,1"
prio,30,5.172819320,5.172819320,0,"0,1"
baseline,31,5.510580776,5.510580776,0,"0,1"
prio,31,5.145797213,5.145797213,0,"0,1"
baseline,32,6.314433336,6.314433336,0,"0,1"
prio,32,5.051895301,5.051895301,0,"0,1"
baseline,33,5.563739729,5.563739729,0,"0,1"
prio,33,5.137307944,5.137307944,0,"0,1"
baseline,34,5.454686850,5.454686850,0,"0,1"
prio,34,5.110123653,5.110123653,0,"0,1"
baseline,35,5.856271768,5.856271768,0,"0,1"
prio,35,6.435013856,6.435013856,0,"0,1"
baseline,36,6.397022338,6.397022338,0,"0,1"
prio,36,6.685596565,6.685596565,0,"0,1"
baseline,37,5.833981015,5.833981015,0,"0,1"
prio,37,5.617105475,5.617105475,0,"0,1"
baseline,38,5.323396175,5.323396175,0,"0,1"
prio,38,5.035641625,5.035641625,0,"0,1"
baseline,39,5.231331273,5.231331273,0,"0,1"
prio,39,5.176007263,5.176007263,0,"0,1"
baseline,40,5.311442519,5.311442519,0,"0,1"
prio,40,5.659764867,5.659764867,0,"0,1"
baseline,41,5.348488474,5.348488474,0,"0,1"
prio,41,5.044165875,5.044165875,0,"0,1"
baseline,42,5.393627347,5.393627347,0,"0,1"
prio,42,5.041367377,5.041367377,0,"0,1"
baseline,43,5.357923210,5.357923210,0,"0,1"
prio,43,4.957493302,4.957493302,0,"0,1"
baseline,44,5.490957910,5.490957910,0,"0,1"
prio,44,5.045274808,5.045274808,0,"0,1"
baseline,45,5.488113729,5.488113729,0,"0,1"
prio,45,4.969874444,4.969874444,0,"0,1"
baseline,46,5.331984018,5.331984018,0,"0,1"
prio,46,5.598458815,5.598458815,0,"0,1"
baseline,47,5.468743973,5.468743973,0,"0,1"
prio,47,5.563719392,5.563719392,0,"0,1"
baseline,48,6.097614174,6.097614174,0,"0,1"
prio,48,5.100082741,5.100082741,0,"0,1"
baseline,49,5.453465333,5.453465333,0,"0,1"
prio,49,6.353581348,6.353581348,0,"0,1"
