platform,算法名,work_scale,repeats,baseline_mean_s,prio_mean_s,improvement_ratio,delta_mean_s,baseline_total_s,prio_total_s,baseline_min_s,baseline_max_s,prio_min_s,prio_max_s,cpu_set,cores_per_task,created_at,out_dir
zhang1,cpf,100,100,0.221805449,0.243964542,-0.099903287,0.022159093,22.180544897,24.396454235,0.194431069,0.294837278,0.235679529,0.269810899,"0,1",2,2026-03-19T16-32-46+08-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/虚拟机/zhang1/cpf_ws100_r100_cpu01_2026-03-19T16-32-46+08-00
zhang1,heft,100,100,0.227703707,0.196037155,0.139069111,-0.031666552,22.770370674,19.603715470,0.194162251,0.315922051,0.181671359,0.210986086,"0,1",2,2026-03-19T16-52-58+08-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/虚拟机/zhang1/heft_ws100_r100_cpu01_2026-03-19T16-52-58+08-00
zhang1,lpf,100,100,0.227569729,0.195563353,0.140644260,-0.032006376,22.756972886,19.556335279,0.195027855,0.303316900,0.192484240,0.211259187,"0,1",2,2026-03-19T16-53-42+08-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/虚拟机/zhang1/lpf_ws100_r100_cpu01_2026-03-19T16-53-42+08-00
zhang1,t_level,100,100,0.224214940,0.196300713,0.124497624,-0.027914227,22.421493993,19.630071267,0.194062794,0.278465417,0.187862965,0.225334760,"0,1",2,2026-03-19T16-52-13+08-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/虚拟机/zhang1/t_level_ws100_r100_cpu01_2026-03-19T16-52-13+08-00
zhang1,wcet_first,100,100,0.219953938,0.242418057,-0.102131018,0.022464120,21.995393781,24.241805750,0.192989598,0.275571792,0.228951533,0.251497025,"0,1",2,2026-03-19T16-33-34+08-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/虚拟机/zhang1/wcet_first_ws100_r100_cpu01_2026-03-19T16-33-34+08-00
zhang1,zhao2020,100,100,0.226387248,0.195720561,0.135461192,-0.030666686,22.638724778,19.572056140,0.193659464,0.303157886,0.191774627,0.201666448,"0,1",2,2026-03-19T16-34-23+08-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/虚拟机/zhang1/zhao2020_ws100_r100_cpu01_2026-03-19T16-34-23+08-00
zhang2,cpf,100,100,0.283865733,0.281971262,0.006673828,-0.001894471,28.386573277,28.197126164,0.250885086,0.340865542,0.276397660,0.292552596,"0,1",2,2026-03-19T16-35-07+08-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/虚拟机/zhang2/cpf_ws100_r100_cpu01_2026-03-19T16-35-07+08-00
zhang2,heft,100,100,0.292359146,0.236490340,0.191096486,-0.055868806,29.235914603,23.649034043,0.251820395,0.372980859,0.233391216,0.257183555,"0,1",2,2026-03-19T16-36-05+08-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/虚拟机/zhang2/heft_ws100_r100_cpu01_2026-03-19T16-36-05+08-00
zhang2,lpf,100,100,0.286804605,0.235244344,0.179774871,-0.051560261,28.680460541,23.524434433,0.240198110,0.356872258,0.228702718,0.245546254,"0,1",2,2026-03-19T16-37-00+08-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/虚拟机/zhang2/lpf_ws100_r100_cpu01_2026-03-19T16-37-00+08-00
zhang2,t_level,100,100,0.288020533,0.235138584,0.183604789,-0.052881949,28.802053317,23.513858385,0.249971354,0.362896003,0.228489672,0.290378789,"0,1",2,2026-03-19T16-37-54+08-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/虚拟机/zhang2/t_level_ws100_r100_cpu01_2026-03-19T16-37-54+08-00
zhang2,wcet_first,100,100,0.289037132,0.234780117,0.187716416,-0.054257015,28.903713198,23.478011744,0.237731011,0.389762283,0.222547248,0.241517411,"0,1",2,2026-03-19T16-38-49+08-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/虚拟机/zhang2/wcet_first_ws100_r100_cpu01_2026-03-19T16-38-49+08-00
zhang2,zhao2020,100,100,0.286090291,0.235057641,0.178379523,-0.051032650,28.609029072,23.505764114,0.238648883,0.368581403,0.228562785,0.243711738,"0,1",2,2026-03-19T16-39-44+08-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/虚拟机/zhang2/zhao2020_ws100_r100_cpu01_2026-03-19T16-39-44+08-00
zhang3,cpf,100,100,0.581487951,0.550739127,0.052879554,-0.030748824,58.148795088,55.073912738,0.541181030,0.662642914,0.541310073,0.614307122,"0,1",2,2026-03-19T16-40-38+08-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/虚拟机/zhang3/cpf_ws100_r100_cpu01_2026-03-19T16-40-38+08-00
zhang3,heft,100,100,0.577830799,0.543581707,0.059271836,-0.034249093,57.783079925,54.358170664,0.535197122,0.652166179,0.531898862,0.593573512,"0,1",2,2026-03-19T16-42-34+08-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/虚拟机/zhang3/heft_ws100_r100_cpu01_2026-03-19T16-42-34+08-00
zhang3,lpf,100,100,0.580842813,0.541709533,0.067373270,-0.039133280,58.084281317,54.170953327,0.541529050,0.655052766,0.532468406,0.553823955,"0,1",2,2026-03-19T16-44-29+08-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/虚拟机/zhang3/lpf_ws100_r100_cpu01_2026-03-19T16-44-29+08-00
zhang3,t_level,100,100,0.590216484,0.560313763,0.050663989,-0.029902722,59.021648412,56.031376252,0.543069910,0.653860913,0.550333563,0.572931269,"0,1",2,2026-03-19T16-46-23+08-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/虚拟机/zhang3/t_level_ws100_r100_cpu01_2026-03-19T16-46-23+08-00
zhang3,wcet_first,100,100,0.580596405,0.567967255,0.021752029,-0.012629150,58.059640538,56.796725549,0.541708697,0.642370452,0.557053257,0.575199669,"0,1",2,2026-03-19T16-48-21+08-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/虚拟机/zhang3/wcet_first_ws100_r100_cpu01_2026-03-19T16-48-21+08-00
zhang3,zhao2020,100,100,0.582962111,0.540476655,0.072878588,-0.042485456,58.296211118,54.047665545,0.538804071,0.670844010,0.527965906,0.557794621,"0,1",2,2026-03-19T16-50-18+08-00,/home/chove/Desktop/ScratchDAG/tools/runtime_compare/实验结果/第四次实验结果/虚拟机/zhang3/zhao2020_ws100_r100_cpu01_2026-03-19T16-50-18+08-00
