program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.947153055,0.949863852,1,"0,1,2,3"
prio,0,0.648816414,0.651555968,1,"0,1,2,3"
baseline,1,1.053269029,1.056525133,1,"0,1,2,3"
prio,1,0.692074285,0.695058029,1,"0,1,2,3"
baseline,2,0.988116343,0.990946651,1,"0,1,2,3"
prio,2,0.651658538,0.654212622,1,"0,1,2,3"
baseline,3,0.940762733,0.943498420,1,"0,1,2,3"
prio,3,0.696830124,0.699728525,1,"0,1,2,3"
baseline,4,0.922886053,0.926289922,1,"0,1,2,3"
prio,4,0.634749428,0.637366647,1,"0,1,2,3"
baseline,5,0.994305554,0.996821740,1,"0,1,2,3"
prio,5,0.631963979,0.634557838,1,"0,1,2,3"
baseline,6,1.015172974,1.017826941,1,"0,1,2,3"
prio,6,0.656204306,0.659032442,1,"0,1,2,3"
baseline,7,0.955172528,0.959063558,1,"0,1,2,3"
prio,7,0.646069131,0.649251808,1,"0,1,2,3"
baseline,8,0.972471443,0.975214825,1,"0,1,2,3"
prio,8,0.624506850,0.627122982,1,"0,1,2,3"
baseline,9,0.970409965,0.973790064,1,"0,1,2,3"
prio,9,0.638801516,0.641217892,1,"0,1,2,3"
