program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,2.469873960,2.472361464,1,"0,1"
prio,0,2.357524993,2.360130529,1,"0,1"
baseline,1,2.453132431,2.455639937,1,"0,1"
prio,1,2.395608047,2.398454504,1,"0,1"
baseline,2,2.355056130,2.357620159,1,"0,1"
prio,2,2.408775273,2.411590239,1,"0,1"
baseline,3,2.372900919,2.375229713,1,"0,1"
prio,3,2.364057397,2.366683531,1,"0,1"
baseline,4,2.344433726,2.347302802,1,"0,1"
prio,4,2.441671528,2.444311103,1,"0,1"
baseline,5,2.482121372,2.484966323,1,"0,1"
prio,5,2.513800255,2.516439895,1,"0,1"
baseline,6,2.554652176,2.557474701,1,"0,1"
prio,6,2.430473602,2.433078902,1,"0,1"
baseline,7,2.469185035,2.472259597,1,"0,1"
prio,7,2.350249038,2.352896811,1,"0,1"
baseline,8,2.353097951,2.355586965,1,"0,1"
prio,8,2.394213608,2.396843351,1,"0,1"
baseline,9,2.376545279,2.379094658,1,"0,1"
prio,9,2.348600494,2.351195307,1,"0,1"
