program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.233927429,0.236601603,1,"0,1"
prio,0,0.254031698,0.257305317,1,"0,1"
baseline,1,0.233118765,0.235923027,1,"0,1"
prio,1,0.235034129,0.237673878,1,"0,1"
baseline,2,0.230855071,0.233609809,1,"0,1"
prio,2,0.243974826,0.246724078,1,"0,1"
baseline,3,0.236767416,0.239505029,1,"0,1"
prio,3,0.229785332,0.232596643,1,"0,1"
baseline,4,0.228865081,0.231851058,1,"0,1"
prio,4,0.229925841,0.232688034,1,"0,1"
baseline,5,0.227886151,0.230843120,1,"0,1"
prio,5,0.229626057,0.232429829,1,"0,1"
baseline,6,0.229044208,0.231960925,1,"0,1"
prio,6,0.219387835,0.223325505,1,"0,1"
baseline,7,0.283751243,0.287224947,1,"0,1"
prio,7,0.229649213,0.232409761,1,"0,1"
baseline,8,0.233817841,0.236671178,1,"0,1"
prio,8,0.225415099,0.228126412,1,"0,1"
baseline,9,0.231687797,0.234421171,1,"0,1"
prio,9,0.229836602,0.232681516,1,"0,1"
