seg_id,start_line,end_line,busy_const,busy_weight,base_cost_s,compute_cost_s,suggested_weight_s,suggested_weight_ns
MU:main#001@132-168,132,168,C7,1.0,1.7175366071428573e-05,0.0014803955416666668,0.0014975709077380953,1497571
MU:main#002@169-171,169,171,C8,1.0,1.7175366071428573e-05,0.0014803955416666668,0.0014975709077380953,1497571
MU:main#003@172-176,172,176,C9,2.0,1.7175366071428573e-05,0.0028015152083333337,0.0028186905744047625,2818691
MU:main#004@177-180,177,180,C10,140.0,1.7175366071428573e-05,0.18803023545833336,0.1880474108244048,188047411
MU:main#005@181-184,181,184,C11,80.0,1.7175366071428573e-05,0.10963559970833334,0.10965277507440477,109652775
MU:main#006@185-188,185,188,C12,100.0,1.7175366071428573e-05,0.13576714495833334,0.13578432032440477,135784320
MU:main#007@189-191,189,191,C13,50.0,1.7175366071428573e-05,0.07043828183333332,0.07045545719940476,70455457
MU:main#008@192-195,192,195,C14,80.0,1.7175366071428573e-05,0.10963559970833334,0.10965277507440477,109652775
MU:worker_c0#001@125-127,125,127,C6,1.0,1.7175366071428573e-05,0.0014803955416666668,0.0014975709077380953,1497571
MU:worker_c1#001@113-115,113,115,C4,220.0,1.7175366071428573e-05,0.29255641645833336,0.2925735918244048,292573592
MU:worker_c1#002@116-119,116,119,C5,4.0,1.7175366071428573e-05,0.005622402902777778,0.005639578268849207,5639578
MU:worker_c2#001@98-100,98,100,C1,350.0,1.7175366071428573e-05,0.4624114605833334,0.4624286359494048,462428636
MU:worker_c2#002@101-104,101,104,C2,8.0,1.7175366071428573e-05,0.0112388579,0.011256033266071427,11256033
MU:worker_c2#003@105-108,105,108,C3,8.0,1.7175366071428573e-05,0.0112388579,0.011256033266071427,11256033
