variant,family,iter,time_s,program_total_ns,prio_fail_count,returncode
standalone_baseline,standalone,1,0.181397673,181397673,0,0
standalone_baseline,standalone,2,0.178990562,178990562,0,0
standalone_baseline,standalone,3,0.179146829,179146829,0,0
standalone_baseline,standalone,4,0.225423658,225423658,0,0
standalone_baseline,standalone,5,0.177235581,177235581,0,0
standalone_baseline,standalone,6,0.183846597,183846597,0,0
standalone_baseline,standalone,7,0.179092123,179092123,0,0
standalone_baseline,standalone,8,0.200519956,200519956,0,0
standalone_baseline,standalone,9,0.180750876,180750876,0,0
standalone_baseline,standalone,10,0.178071636,178071636,0,0
standalone_baseline,standalone,11,0.176081403,176081403,0,0
standalone_baseline,standalone,12,0.179638211,179638211,0,0
standalone_main_once,standalone,1,0.181204201,181204201,0,0
standalone_main_once,standalone,2,0.215188534,215188534,0,0
standalone_main_once,standalone,3,0.177607763,177607763,0,0
standalone_main_once,standalone,4,0.179056176,179056176,0,0
standalone_main_once,standalone,5,0.178709395,178709395,0,0
standalone_main_once,standalone,6,0.179186240,179186240,0,0
standalone_main_once,standalone,7,0.178200053,178200053,0,0
standalone_main_once,standalone,8,0.178599106,178599106,0,0
standalone_main_once,standalone,9,0.173270349,173270349,0,0
standalone_main_once,standalone,10,0.162674406,162674406,0,0
standalone_main_once,standalone,11,0.162819026,162819026,0,0
standalone_main_once,standalone,12,0.174471602,174471602,0,0
standalone_phase_4sites,standalone,1,0.204576638,204576638,0,0
standalone_phase_4sites,standalone,2,0.168641006,168641006,0,0
standalone_phase_4sites,standalone,3,0.175277035,175277035,0,0
standalone_phase_4sites,standalone,4,0.161688382,161688382,0,0
standalone_phase_4sites,standalone,5,0.193008799,193008799,0,0
standalone_phase_4sites,standalone,6,0.165207792,165207792,0,0
standalone_phase_4sites,standalone,7,0.175610732,175610732,0,0
standalone_phase_4sites,standalone,8,0.169479289,169479289,0,0
standalone_phase_4sites,standalone,9,0.165339916,165339916,0,0
standalone_phase_4sites,standalone,10,0.172185817,172185817,0,0
standalone_phase_4sites,standalone,11,0.164027775,164027775,0,0
standalone_phase_4sites,standalone,12,0.208235772,208235772,0,0
zhang22_baseline,zhang22,1,0.026865072,26865072,0,0
zhang22_baseline,zhang22,2,0.025394107,25394107,0,0
