program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.023244991,0.027169453,1,"0,1"
prio,0,0.022806236,0.025777143,1,"0,1"
baseline,1,0.021894356,0.026238780,1,"0,1"
prio,1,0.021482030,0.024508665,1,"0,1"
baseline,2,0.025633815,0.029333674,1,"0,1"
prio,2,0.021029519,0.024065635,1,"0,1"
baseline,3,0.021625463,0.024351334,1,"0,1"
prio,3,0.020727229,0.023630762,1,"0,1"
baseline,4,0.020172873,0.022813903,1,"0,1"
prio,4,0.020360655,0.022973604,1,"0,1"
baseline,5,0.024740175,0.029815603,1,"0,1"
prio,5,0.020434200,0.024502606,1,"0,1"
baseline,6,0.024579308,0.027562124,1,"0,1"
prio,6,0.021729569,0.025087806,1,"0,1"
baseline,7,0.024059742,0.027015314,1,"0,1"
prio,7,0.022367023,0.026259353,1,"0,1"
baseline,8,0.021883241,0.026493550,1,"0,1"
prio,8,0.021263061,0.024549918,1,"0,1"
baseline,9,0.020781558,0.023580824,1,"0,1"
prio,9,0.020575497,0.023463954,1,"0,1"
