program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,2.243111210,2.251702727,1,"0,1"
prio,0,7.557195920,7.563241072,1,"0,1"
baseline,1,1.721176917,1.729314133,1,"0,1"
prio,1,2.143645584,2.151702671,1,"0,1"
baseline,2,2.137256043,2.146017404,1,"0,1"
prio,2,1.920473626,1.929324213,1,"0,1"
baseline,3,1.947683792,1.966317069,1,"0,1"
prio,3,2.247279126,2.262188627,1,"0,1"
baseline,4,2.172156585,2.180872189,1,"0,1"
prio,4,7.863587670,7.900386276,1,"0,1"
baseline,5,1.736544542,1.745621990,1,"0,1"
prio,5,2.027505960,2.033521373,1,"0,1"
baseline,6,2.100184918,2.118326736,1,"0,1"
prio,6,2.384295376,2.393174429,1,"0,1"
baseline,7,2.216923043,2.224838407,1,"0,1"
prio,7,2.141815084,2.150317252,1,"0,1"
baseline,8,2.654218584,2.661633397,1,"0,1"
prio,8,7.797440587,7.804336444,1,"0,1"
baseline,9,1.689125376,1.705576860,1,"0,1"
prio,9,1.824057668,1.841058934,1,"0,1"
