program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,6.454021003,6.460837097,1,"0,1"
prio,0,3.977993835,3.984179105,1,"0,1"
baseline,1,1.989213334,1.998484137,1,"0,1"
prio,1,2.242308251,2.258989828,1,"0,1"
baseline,2,2.357959918,2.368266095,1,"0,1"
prio,2,2.167343501,2.175448338,1,"0,1"
baseline,3,2.510846917,2.526220376,1,"0,1"
prio,3,2.107183459,2.124828966,1,"0,1"
baseline,4,8.376487004,8.382848020,1,"0,1"
prio,4,2.101640918,2.170620493,1,"0,1"
baseline,5,2.256923376,2.263971948,1,"0,1"
prio,5,2.437785293,2.453312045,1,"0,1"
baseline,6,2.371190501,2.385888260,1,"0,1"
prio,6,2.099414626,2.113720630,1,"0,1"
baseline,7,2.239724667,2.256210878,1,"0,1"
prio,7,1.768743667,1.778392395,1,"0,1"
baseline,8,8.403904545,8.410494846,1,"0,1"
prio,8,2.264004752,2.273056718,1,"0,1"
baseline,9,1.923350917,1.938679994,1,"0,1"
prio,9,2.146727626,2.162420516,1,"0,1"
