program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,7.701994128,7.821576912,1,"0,1"
prio,0,1.860573459,1.866517787,1,"0,1"
baseline,1,1.997277043,2.013318942,1,"0,1"
prio,1,2.156990209,2.172472441,1,"0,1"
baseline,2,2.250364959,2.258666208,1,"0,1"
prio,2,2.265503042,2.274401783,1,"0,1"
baseline,3,1.914733626,1.921745605,1,"0,1"
prio,3,8.123811504,8.129389885,1,"0,1"
baseline,4,1.950090917,1.988254346,1,"0,1"
prio,4,1.800652876,1.806590515,1,"0,1"
baseline,5,2.003038043,2.011033247,1,"0,1"
prio,5,2.186326917,2.202541408,1,"0,1"
baseline,6,2.064854168,2.074551938,1,"0,1"
prio,6,1.912931709,1.926880312,1,"0,1"
baseline,7,2.006918376,2.023295328,1,"0,1"
prio,7,8.174666796,8.180385754,1,"0,1"
baseline,8,1.811506375,1.849313102,1,"0,1"
prio,8,1.726813959,1.734570377,1,"0,1"
baseline,9,2.075099543,2.084133197,1,"0,1"
prio,9,2.162083876,2.175893367,1,"0,1"
