program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,7.772289295,8.268963272,1,"0,1"
prio,0,1.859112793,1.868349757,1,"0,1"
baseline,1,1.846993167,1.853108179,1,"0,1"
prio,1,2.172049251,2.186850589,1,"0,1"
baseline,2,2.220332043,2.237690869,1,"0,1"
prio,2,2.090630792,2.114802055,1,"0,1"
baseline,3,2.211827626,2.225257718,1,"0,1"
prio,3,2.066105709,2.083012679,1,"0,1"
baseline,4,8.255771129,8.261884298,1,"0,1"
prio,4,2.205495251,2.242569836,1,"0,1"
baseline,5,1.967913793,1.974924851,1,"0,1"
prio,5,2.430940459,2.445761865,1,"0,1"
baseline,6,1.909446292,1.927080998,1,"0,1"
prio,6,2.468164710,2.484758755,1,"0,1"
baseline,7,2.221630543,2.242672012,1,"0,1"
prio,7,2.056929584,2.071251442,1,"0,1"
baseline,8,2.368091834,2.373880753,1,"0,1"
prio,8,8.066705504,8.073650431,1,"0,1"
baseline,9,1.869007584,1.895527375,1,"0,1"
prio,9,2.690570751,2.707651291,1,"0,1"
