program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,8.250605129,8.440931852,1,"0,1"
prio,0,1.849992084,1.865099546,1,"0,1"
baseline,1,2.099437376,2.108840589,1,"0,1"
prio,1,2.381119126,2.417418292,1,"0,1"
baseline,2,2.340938543,2.372398265,1,"0,1"
prio,2,2.146697584,2.155201366,1,"0,1"
baseline,3,2.191671126,2.207493903,1,"0,1"
prio,3,1.740094709,1.757452428,1,"0,1"
baseline,4,3.337723377,3.343605533,1,"0,1"
prio,4,7.036882420,7.042696308,1,"0,1"
baseline,5,1.700452543,1.718533507,1,"0,1"
prio,5,2.146635751,2.165463903,1,"0,1"
baseline,6,2.392721042,2.408747411,1,"0,1"
prio,6,2.487791543,2.507295868,1,"0,1"
baseline,7,2.287917626,2.305907909,1,"0,1"
prio,7,2.101451335,2.116060488,1,"0,1"
baseline,8,2.196245042,2.203252493,1,"0,1"
prio,8,8.133996504,8.150902534,1,"0,1"
baseline,9,2.050398584,2.065722579,1,"0,1"
prio,9,2.318398251,2.333755652,1,"0,1"
