index,sample_value,sample_unit,used_for_stats
0,6116,ns,no
1,315,ns,yes
2,204,ns,yes
3,202,ns,yes
4,201,ns,yes
5,199,ns,yes
6,200,ns,yes
7,200,ns,yes
8,199,ns,yes
9,198,ns,yes
10,199,ns,yes
11,198,ns,yes
12,199,ns,yes
13,198,ns,yes
14,198,ns,yes
15,223,ns,yes
16,200,ns,yes
17,199,ns,yes
18,198,ns,yes
19,197,ns,yes
20,200,ns,yes
21,198,ns,yes
22,200,ns,yes
23,198,ns,yes
24,199,ns,yes
25,199,ns,yes
26,199,ns,yes
27,198,ns,yes
28,199,ns,yes
29,198,ns,yes
30,200,ns,yes
31,198,ns,yes
32,198,ns,yes
33,214,ns,yes
34,198,ns,yes
35,200,ns,yes
36,198,ns,yes
37,197,ns,yes
38,198,ns,yes
39,199,ns,yes
40,198,ns,yes
41,201,ns,yes
42,199,ns,yes
43,199,ns,yes
44,198,ns,yes
45,197,ns,yes
46,198,ns,yes
47,201,ns,yes
48,199,ns,yes
49,200,ns,yes
50,200,ns,yes
51,199,ns,yes
52,199,ns,yes
53,199,ns,yes
54,200,ns,yes
55,198,ns,yes
56,197,ns,yes
57,198,ns,yes
58,199,ns,yes
59,198,ns,yes
60,201,ns,yes
61,198,ns,yes
62,198,ns,yes
63,216,ns,yes
64,198,ns,yes
65,198,ns,yes
66,200,ns,yes
67,198,ns,yes
68,198,ns,yes
69,198,ns,yes
70,199,ns,yes
71,198,ns,yes
72,198,ns,yes
73,198,ns,yes
74,201,ns,yes
75,199,ns,yes
76,199,ns,yes
77,198,ns,yes
78,198,ns,yes
79,198,ns,yes
80,198,ns,yes
81,198,ns,yes
82,197,ns,yes
83,198,ns,yes
84,198,ns,yes
85,200,ns,yes
86,198,ns,yes
87,198,ns,yes
88,198,ns,yes
89,198,ns,yes
90,198,ns,yes
91,197,ns,yes
92,208,ns,yes
93,199,ns,yes
94,199,ns,yes
95,198,ns,yes
96,199,ns,yes
97,199,ns,yes
98,199,ns,yes
99,198,ns,yes
100,197,ns,yes
summary,avg,200.53,ns
summary,min,197,ns
summary,max,315,ns
