program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.172563917,0.186971448,1,"0,1"
prio,0,0.135038458,0.141024971,1,"0,1"
baseline,1,0.109152458,0.116364773,1,"0,1"
prio,1,0.137857417,0.143522591,1,"0,1"
baseline,2,0.109217500,0.115079988,1,"0,1"
prio,2,0.135384375,0.141103520,1,"0,1"
baseline,3,0.122440792,0.128512043,1,"0,1"
prio,3,0.135647166,0.141700267,1,"0,1"
baseline,4,0.120250375,0.125993516,1,"0,1"
prio,4,0.135312625,0.141014898,1,"0,1"
baseline,5,0.121861541,0.127507926,1,"0,1"
prio,5,0.135282292,0.141175657,1,"0,1"
baseline,6,0.109626125,0.116599059,1,"0,1"
prio,6,0.135395458,0.141055782,1,"0,1"
baseline,7,0.122690167,0.128468381,1,"0,1"
prio,7,0.135186625,0.141163116,1,"0,1"
baseline,8,0.121941167,0.127613218,1,"0,1"
prio,8,0.135073167,0.140956124,1,"0,1"
baseline,9,0.121821875,0.127676595,1,"0,1"
prio,9,0.136701250,0.142463746,1,"0,1"
