program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.004492964,0.007100294,1,"0,1"
prio,0,0.004875924,0.007508444,1,"0,1"
baseline,1,0.004613824,0.007450942,1,"0,1"
prio,1,0.005335580,0.007999353,1,"0,1"
baseline,2,0.004664987,0.007701039,1,"0,1"
prio,2,0.005045342,0.007653422,1,"0,1"
baseline,3,0.004464649,0.007057876,1,"0,1"
prio,3,0.004671940,0.007127699,1,"0,1"
baseline,4,0.004620239,0.007220716,1,"0,1"
prio,4,0.004424677,0.007052769,1,"0,1"
baseline,5,0.004663248,0.007258400,1,"0,1"
prio,5,0.004487263,0.007000142,1,"0,1"
baseline,6,0.004579385,0.007736742,1,"0,1"
prio,6,0.004502738,0.006999979,1,"0,1"
baseline,7,0.004637825,0.007446642,1,"0,1"
prio,7,0.004382002,0.006944273,1,"0,1"
baseline,8,0.005057868,0.007653160,1,"0,1"
prio,8,0.004474827,0.007003044,1,"0,1"
baseline,9,0.004544205,0.007155272,1,"0,1"
prio,9,0.004510435,0.007249964,1,"0,1"
