program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.238654644,0.241564680,1,"0,1"
prio,0,0.235509862,0.238022057,1,"0,1"
baseline,1,0.237496424,0.239962636,1,"0,1"
prio,1,0.248025730,0.250581641,1,"0,1"
baseline,2,0.240779795,0.243233841,1,"0,1"
prio,2,0.248277631,0.250952985,1,"0,1"
baseline,3,0.241184160,0.244971181,1,"0,1"
prio,3,0.238312956,0.240863206,1,"0,1"
baseline,4,0.244127017,0.246701932,1,"0,1"
prio,4,0.243515730,0.245984451,1,"0,1"
baseline,5,0.234906584,0.237571097,1,"0,1"
prio,5,0.233733092,0.236034852,1,"0,1"
baseline,6,0.235643503,0.238349818,1,"0,1"
prio,6,0.236315667,0.238772216,1,"0,1"
baseline,7,0.239191946,0.241763068,1,"0,1"
prio,7,0.236603008,0.239157025,1,"0,1"
baseline,8,0.240038279,0.242509970,1,"0,1"
prio,8,0.240766600,0.243315561,1,"0,1"
baseline,9,0.233364469,0.235741123,1,"0,1"
prio,9,0.237855270,0.240311324,1,"0,1"
