program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.275774428,0.278627177,1,"0,1"
prio,0,0.240457531,0.243478168,1,"0,1"
baseline,1,0.274500427,0.277134536,1,"0,1"
prio,1,0.239850004,0.242725617,1,"0,1"
baseline,2,0.278321760,0.283634228,1,"0,1"
prio,2,0.240220002,0.242825160,1,"0,1"
baseline,3,0.265776556,0.268535427,1,"0,1"
prio,3,0.239338776,0.242005998,1,"0,1"
baseline,4,0.308335460,0.312490951,1,"0,1"
prio,4,0.244415358,0.247235239,1,"0,1"
baseline,5,0.273697197,0.276405682,1,"0,1"
prio,5,0.259061790,0.262564303,1,"0,1"
baseline,6,0.277376765,0.280445900,1,"0,1"
prio,6,0.237174054,0.239653133,1,"0,1"
baseline,7,0.254991983,0.257937245,1,"0,1"
prio,7,0.239302405,0.241852213,1,"0,1"
baseline,8,0.302413323,0.305589181,1,"0,1"
prio,8,0.237885394,0.240651750,1,"0,1"
baseline,9,0.267097557,0.269750592,1,"0,1"
prio,9,0.240370182,0.243041730,1,"0,1"
