program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.078939476,0.081527199,1,"0,1"
prio,0,0.057887646,0.060632796,1,"0,1"
baseline,1,0.097009129,0.099852009,1,"0,1"
prio,1,0.057552462,0.060347771,1,"0,1"
baseline,2,0.055551649,0.058502859,1,"0,1"
prio,2,0.058222675,0.061352616,1,"0,1"
baseline,3,0.060346519,0.064360272,1,"0,1"
prio,3,0.056818295,0.059778254,1,"0,1"
baseline,4,0.055878509,0.058898166,1,"0,1"
prio,4,0.056833609,0.059523123,1,"0,1"
baseline,5,0.056672831,0.059699216,1,"0,1"
prio,5,0.059985927,0.062807184,1,"0,1"
baseline,6,0.058288193,0.061315827,1,"0,1"
prio,6,0.058135202,0.061376477,1,"0,1"
baseline,7,0.056288353,0.059031796,1,"0,1"
prio,7,0.057696795,0.060882184,1,"0,1"
baseline,8,0.058730167,0.062096557,1,"0,1"
prio,8,0.057733166,0.060495633,1,"0,1"
baseline,9,0.059772608,0.062582147,1,"0,1"
prio,9,0.056914850,0.059816088,1,"0,1"
