program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.162944121,0.162944121,0,"1,2"
prio,0,0.106823989,0.106823989,0,"1,2"
baseline,1,0.089934413,0.089934413,0,"1,2"
prio,1,0.091185557,0.091185557,0,"1,2"
baseline,2,0.094046579,0.094046579,0,"1,2"
prio,2,0.089924217,0.089924217,0,"1,2"
baseline,3,0.091615680,0.091615680,0,"1,2"
prio,3,0.090610941,0.090610941,0,"1,2"
baseline,4,0.093432248,0.093432248,0,"1,2"
prio,4,0.087940929,0.087940929,0,"1,2"
baseline,5,0.091198762,0.091198762,0,"1,2"
prio,5,0.094345178,0.094345178,0,"1,2"
baseline,6,0.090898488,0.090898488,0,"1,2"
prio,6,0.089313007,0.089313007,0,"1,2"
baseline,7,0.090092851,0.090092851,0,"1,2"
prio,7,0.088176564,0.088176564,0,"1,2"
baseline,8,0.090324334,0.090324334,0,"1,2"
prio,8,0.089706303,0.089706303,0,"1,2"
baseline,9,0.091296890,0.091296890,0,"1,2"
prio,9,0.111158041,0.111158041,0,"1,2"
baseline,10,0.170349235,0.170349235,0,"1,2"
prio,10,0.114951373,0.114951373,0,"1,2"
baseline,11,0.093039967,0.093039967,0,"1,2"
prio,11,0.089160557,0.089160557,0,"1,2"
baseline,12,0.091571568,0.091571568,0,"1,2"
prio,12,0.088986716,0.088986716,0,"1,2"
baseline,13,0.092205785,0.092205785,0,"1,2"
prio,13,0.088613816,0.088613816,0,"1,2"
baseline,14,0.113695308,0.113695308,0,"1,2"
prio,14,0.090486355,0.090486355,0,"1,2"
baseline,15,0.090275753,0.090275753,0,"1,2"
prio,15,0.089359796,0.089359796,0,"1,2"
baseline,16,0.089194539,0.089194539,0,"1,2"
prio,16,0.087144522,0.087144522,0,"1,2"
baseline,17,0.093126381,0.093126381,0,"1,2"
prio,17,0.089409736,0.089409736,0,"1,2"
baseline,18,0.094673825,0.094673825,0,"1,2"
prio,18,0.087628185,0.087628185,0,"1,2"
baseline,19,0.093021298,0.093021298,0,"1,2"
prio,19,0.088202773,0.088202773,0,"1,2"
baseline,20,0.132729763,0.132729763,0,"1,2"
prio,20,0.127409106,0.127409106,0,"1,2"
baseline,21,0.149593297,0.149593297,0,"1,2"
prio,21,0.091251256,0.091251256,0,"1,2"
baseline,22,0.090506345,0.090506345,0,"1,2"
prio,22,0.089338974,0.089338974,0,"1,2"
baseline,23,0.091796772,0.091796772,0,"1,2"
prio,23,0.088832411,0.088832411,0,"1,2"
baseline,24,0.091919295,0.091919295,0,"1,2"
prio,24,0.089593265,0.089593265,0,"1,2"
baseline,25,0.088813707,0.088813707,0,"1,2"
prio,25,0.088559277,0.088559277,0,"1,2"
baseline,26,0.090145254,0.090145254,0,"1,2"
prio,26,0.088839765,0.088839765,0,"1,2"
baseline,27,0.093647663,0.093647663,0,"1,2"
prio,27,0.091017432,0.091017432,0,"1,2"
baseline,28,0.091796916,0.091796916,0,"1,2"
prio,28,0.088826507,0.088826507,0,"1,2"
baseline,29,0.090992137,0.090992137,0,"1,2"
prio,29,0.088384691,0.088384691,0,"1,2"
baseline,30,0.106777650,0.106777650,0,"1,2"
prio,30,0.129495372,0.129495372,0,"1,2"
baseline,31,0.134763651,0.134763651,0,"1,2"
prio,31,0.111495314,0.111495314,0,"1,2"
baseline,32,0.091068699,0.091068699,0,"1,2"
prio,32,0.089726932,0.089726932,0,"1,2"
baseline,33,0.090840248,0.090840248,0,"1,2"
prio,33,0.088565349,0.088565349,0,"1,2"
baseline,34,0.091259148,0.091259148,0,"1,2"
prio,34,0.088120136,0.088120136,0,"1,2"
baseline,35,0.091151656,0.091151656,0,"1,2"
prio,35,0.088483286,0.088483286,0,"1,2"
baseline,36,0.088769922,0.088769922,0,"1,2"
prio,36,0.089134097,0.089134097,0,"1,2"
baseline,37,0.097212118,0.097212118,0,"1,2"
prio,37,0.088339775,0.088339775,0,"1,2"
baseline,38,0.091794390,0.091794390,0,"1,2"
prio,38,0.092122213,0.092122213,0,"1,2"
baseline,39,0.090406213,0.090406213,0,"1,2"
prio,39,0.092107495,0.092107495,0,"1,2"
baseline,40,0.091169773,0.091169773,0,"1,2"
prio,40,0.129795224,0.129795224,0,"1,2"
baseline,41,0.162885879,0.162885879,0,"1,2"
prio,41,0.118999489,0.118999489,0,"1,2"
baseline,42,0.107813896,0.107813896,0,"1,2"
