program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,2.356593081,2.356593081,0,"0,1"
prio,0,1.791812206,1.791812206,0,"0,1"
baseline,1,2.284903259,2.284903259,0,"0,1"
prio,1,1.802000420,1.802000420,0,"0,1"
baseline,2,2.515237216,2.515237216,0,"0,1"
prio,2,1.805740232,1.805740232,0,"0,1"
baseline,3,2.359633343,2.359633343,0,"0,1"
prio,3,1.809391898,1.809391898,0,"0,1"
baseline,4,8.614994573,8.614994573,0,"0,1"
prio,4,12.409901427,12.409901427,0,"0,1"
baseline,5,10.114602746,10.114602746,0,"0,1"
prio,5,2.071292228,2.071292228,0,"0,1"
baseline,6,7.436084751,7.436084751,0,"0,1"
prio,6,1.925318301,1.925318301,0,"0,1"
baseline,7,4.652416311,4.652416311,0,"0,1"
prio,7,1.930584108,1.930584108,0,"0,1"
baseline,8,2.465051699,2.465051699,0,"0,1"
prio,8,2.175050347,2.175050347,0,"0,1"
baseline,9,2.503106917,2.503106917,0,"0,1"
prio,9,1.940236071,1.940236071,0,"0,1"
baseline,10,2.428854036,2.428854036,0,"0,1"
prio,10,2.015794864,2.015794864,0,"0,1"
baseline,11,2.577306785,2.577306785,0,"0,1"
prio,11,1.903438409,1.903438409,0,"0,1"
baseline,12,9.054764598,9.054764598,0,"0,1"
prio,12,14.696587397,14.696587397,0,"0,1"
baseline,13,10.193646593,10.193646593,0,"0,1"
prio,13,2.371837531,2.371837531,0,"0,1"
baseline,14,7.616093969,7.616093969,0,"0,1"
prio,14,2.059957935,2.059957935,0,"0,1"
baseline,15,4.395564346,4.395564346,0,"0,1"
prio,15,1.813639213,1.813639213,0,"0,1"
baseline,16,2.240427667,2.240427667,0,"0,1"
prio,16,2.010820653,2.010820653,0,"0,1"
baseline,17,2.243295193,2.243295193,0,"0,1"
prio,17,1.826712770,1.826712770,0,"0,1"
baseline,18,2.261325883,2.261325883,0,"0,1"
prio,18,1.937868640,1.937868640,0,"0,1"
baseline,19,2.493364805,2.493364805,0,"0,1"
prio,19,1.885801937,1.885801937,0,"0,1"
baseline,20,2.204773257,2.204773257,0,"0,1"
prio,20,2.008772455,2.008772455,0,"0,1"
baseline,21,2.173799045,2.173799045,0,"0,1"
prio,21,2.076917593,2.076917593,0,"0,1"
baseline,22,14.706483441,14.706483441,0,"0,1"
prio,22,7.567898234,7.567898234,0,"0,1"
baseline,23,8.494849451,8.494849451,0,"0,1"
prio,23,1.837543411,1.837543411,0,"0,1"
baseline,24,10.346407708,10.346407708,0,"0,1"
prio,24,1.799261197,1.799261197,0,"0,1"
baseline,25,4.025157341,4.025157341,0,"0,1"
prio,25,1.836901167,1.836901167,0,"0,1"
baseline,26,2.351893660,2.351893660,0,"0,1"
prio,26,1.788852415,1.788852415,0,"0,1"
baseline,27,2.397575228,2.397575228,0,"0,1"
prio,27,1.744140256,1.744140256,0,"0,1"
baseline,28,2.290842940,2.290842940,0,"0,1"
prio,28,1.862078109,1.862078109,0,"0,1"
baseline,29,2.401610228,2.401610228,0,"0,1"
prio,29,1.908549647,1.908549647,0,"0,1"
baseline,30,2.778776078,2.778776078,0,"0,1"
prio,30,1.872167114,1.872167114,0,"0,1"
baseline,31,8.125778481,8.125778481,0,"0,1"
prio,31,14.137932541,14.137932541,0,"0,1"
baseline,32,10.074014550,10.074014550,0,"0,1"
prio,32,1.999543702,1.999543702,0,"0,1"
baseline,33,8.358169862,8.358169862,0,"0,1"
prio,33,1.903881956,1.903881956,0,"0,1"
baseline,34,5.877748883,5.877748883,0,"0,1"
prio,34,2.095698535,2.095698535,0,"0,1"
baseline,35,2.725782789,2.725782789,0,"0,1"
prio,35,1.928047381,1.928047381,0,"0,1"
baseline,36,2.367948709,2.367948709,0,"0,1"
prio,36,1.814699784,1.814699784,0,"0,1"
baseline,37,2.209780463,2.209780463,0,"0,1"
prio,37,1.758725825,1.758725825,0,"0,1"
baseline,38,2.613368519,2.613368519,0,"0,1"
prio,38,1.797410143,1.797410143,0,"0,1"
baseline,39,2.177529187,2.177529187,0,"0,1"
prio,39,2.077863497,2.077863497,0,"0,1"
baseline,40,2.477832072,2.477832072,0,"0,1"
prio,40,1.786992897,1.786992897,0,"0,1"
baseline,41,19.586791707,19.586791707,0,"0,1"
prio,41,1.894345850,1.894345850,0,"0,1"
baseline,42,8.601114302,8.601114302,0,"0,1"
prio,42,2.269176442,2.269176442,0,"0,1"
baseline,43,8.778371685,8.778371685,0,"0,1"
prio,43,1.819254119,1.819254119,0,"0,1"
baseline,44,3.033763706,3.033763706,0,"0,1"
prio,44,1.839505880,1.839505880,0,"0,1"
baseline,45,2.400155401,2.400155401,0,"0,1"
prio,45,1.840412426,1.840412426,0,"0,1"
baseline,46,2.649988768,2.649988768,0,"0,1"
prio,46,1.805936667,1.805936667,0,"0,1"
baseline,47,2.408983934,2.408983934,0,"0,1"
prio,47,1.830294250,1.830294250,0,"0,1"
baseline,48,2.362711002,2.362711002,0,"0,1"
prio,48,1.794661746,1.794661746,0,"0,1"
baseline,49,2.297297318,2.297297318,0,"0,1"
prio,49,2.028769870,2.028769870,0,"0,1"
