program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.969005583,0.969005583,0,"1,2"
prio,0,1.013350696,1.013350696,0,"1,2"
baseline,1,0.895461596,0.895461596,0,"1,2"
prio,1,0.865618120,0.865618120,0,"1,2"
baseline,2,0.875828066,0.875828066,0,"1,2"
prio,2,0.871931054,0.871931054,0,"1,2"
baseline,3,0.882422170,0.882422170,0,"1,2"
prio,3,0.907924716,0.907924716,0,"1,2"
baseline,4,0.882919477,0.882919477,0,"1,2"
prio,4,0.879088091,0.879088091,0,"1,2"
baseline,5,0.888615235,0.888615235,0,"1,2"
prio,5,0.866473039,0.866473039,0,"1,2"
baseline,6,0.890262601,0.890262601,0,"1,2"
prio,6,0.877524750,0.877524750,0,"1,2"
baseline,7,0.891726796,0.891726796,0,"1,2"
prio,7,0.981846920,0.981846920,0,"1,2"
baseline,8,0.949949871,0.949949871,0,"1,2"
prio,8,0.904246493,0.904246493,0,"1,2"
baseline,9,0.946057822,0.946057822,0,"1,2"
prio,9,0.856684883,0.856684883,0,"1,2"
baseline,10,0.924300343,0.924300343,0,"1,2"
prio,10,0.956506905,0.956506905,0,"1,2"
baseline,11,0.886919508,0.886919508,0,"1,2"
prio,11,0.856684898,0.856684898,0,"1,2"
baseline,12,0.881086678,0.881086678,0,"1,2"
prio,12,0.883983266,0.883983266,0,"1,2"
baseline,13,0.873313071,0.873313071,0,"1,2"
prio,13,0.895524402,0.895524402,0,"1,2"
baseline,14,0.879690756,0.879690756,0,"1,2"
prio,14,0.873438793,0.873438793,0,"1,2"
baseline,15,0.884945508,0.884945508,0,"1,2"
prio,15,0.900720245,0.900720245,0,"1,2"
baseline,16,0.876457598,0.876457598,0,"1,2"
prio,16,0.908272114,0.908272114,0,"1,2"
baseline,17,0.898766060,0.898766060,0,"1,2"
prio,17,0.877284204,0.877284204,0,"1,2"
baseline,18,0.925725218,0.925725218,0,"1,2"
prio,18,0.857396917,0.857396917,0,"1,2"
baseline,19,0.934560523,0.934560523,0,"1,2"
prio,19,0.856595704,0.856595704,0,"1,2"
baseline,20,0.904230539,0.904230539,0,"1,2"
prio,20,0.868700349,0.868700349,0,"1,2"
baseline,21,0.879658431,0.879658431,0,"1,2"
prio,21,0.879555766,0.879555766,0,"1,2"
baseline,22,0.873297385,0.873297385,0,"1,2"
prio,22,0.890569562,0.890569562,0,"1,2"
baseline,23,0.880941799,0.880941799,0,"1,2"
prio,23,0.890146355,0.890146355,0,"1,2"
baseline,24,0.921025860,0.921025860,0,"1,2"
prio,24,0.872622769,0.872622769,0,"1,2"
baseline,25,0.910949800,0.910949800,0,"1,2"
prio,25,0.878160399,0.878160399,0,"1,2"
baseline,26,0.937640038,0.937640038,0,"1,2"
prio,26,0.868532972,0.868532972,0,"1,2"
baseline,27,0.890484135,0.890484135,0,"1,2"
prio,27,0.859282049,0.859282049,0,"1,2"
baseline,28,0.901501432,0.901501432,0,"1,2"
prio,28,0.856901438,0.856901438,0,"1,2"
baseline,29,0.883043622,0.883043622,0,"1,2"
prio,29,0.951237727,0.951237727,0,"1,2"
baseline,30,0.877030832,0.877030832,0,"1,2"
prio,30,0.857127496,0.857127496,0,"1,2"
baseline,31,0.872216517,0.872216517,0,"1,2"
prio,31,0.893333210,0.893333210,0,"1,2"
baseline,32,0.881188907,0.881188907,0,"1,2"
prio,32,0.872629533,0.872629533,0,"1,2"
baseline,33,0.896469559,0.896469559,0,"1,2"
prio,33,0.879828564,0.879828564,0,"1,2"
baseline,34,0.914441752,0.914441752,0,"1,2"
prio,34,0.878854390,0.878854390,0,"1,2"
baseline,35,0.897322128,0.897322128,0,"1,2"
prio,35,0.856702856,0.856702856,0,"1,2"
baseline,36,0.857387703,0.857387703,0,"1,2"
prio,36,0.898684617,0.898684617,0,"1,2"
baseline,37,0.857043538,0.857043538,0,"1,2"
prio,37,0.996027915,0.996027915,0,"1,2"
baseline,38,0.856667874,0.856667874,0,"1,2"
prio,38,0.911706868,0.911706868,0,"1,2"
baseline,39,0.882523643,0.882523643,0,"1,2"
prio,39,0.857812108,0.857812108,0,"1,2"
baseline,40,0.856837638,0.856837638,0,"1,2"
prio,40,0.856574555,0.856574555,0,"1,2"
baseline,41,0.892069965,0.892069965,0,"1,2"
prio,41,0.856724772,0.856724772,0,"1,2"
baseline,42,0.856136182,0.856136182,0,"1,2"
prio,42,0.856288147,0.856288147,0,"1,2"
baseline,43,0.856681030,0.856681030,0,"1,2"
prio,43,1.018115833,1.018115833,0,"1,2"
baseline,44,0.857442591,0.857442591,0,"1,2"
prio,44,0.855821194,0.855821194,0,"1,2"
baseline,45,0.856482708,0.856482708,0,"1,2"
prio,45,1.039815676,1.039815676,0,"1,2"
baseline,46,0.865954190,0.865954190,0,"1,2"
prio,46,0.861614670,0.861614670,0,"1,2"
baseline,47,0.856105007,0.856105007,0,"1,2"
prio,47,0.892156344,0.892156344,0,"1,2"
baseline,48,0.857070152,0.857070152,0,"1,2"
prio,48,0.858126005,0.858126005,0,"1,2"
baseline,49,0.856670277,0.856670277,0,"1,2"
prio,49,0.875399938,0.875399938,0,"1,2"
baseline,50,0.896950183,0.896950183,0,"1,2"
prio,50,0.872880781,0.872880781,0,"1,2"
baseline,51,0.885108511,0.885108511,0,"1,2"
prio,51,0.969522829,0.969522829,0,"1,2"
baseline,52,0.890593391,0.890593391,0,"1,2"
prio,52,0.861468288,0.861468288,0,"1,2"
baseline,53,0.861904632,0.861904632,0,"1,2"
prio,53,0.856276841,0.856276841,0,"1,2"
baseline,54,0.857950162,0.857950162,0,"1,2"
prio,54,0.864389096,0.864389096,0,"1,2"
baseline,55,0.872380302,0.872380302,0,"1,2"
prio,55,0.955328059,0.955328059,0,"1,2"
baseline,56,0.856881199,0.856881199,0,"1,2"
prio,56,0.856289985,0.856289985,0,"1,2"
baseline,57,0.856549575,0.856549575,0,"1,2"
prio,57,0.856427952,0.856427952,0,"1,2"
baseline,58,0.858396152,0.858396152,0,"1,2"
prio,58,1.012037521,1.012037521,0,"1,2"
baseline,59,0.855983746,0.855983746,0,"1,2"
prio,59,0.857314936,0.857314936,0,"1,2"
baseline,60,0.856936642,0.856936642,0,"1,2"
prio,60,0.907070904,0.907070904,0,"1,2"
baseline,61,0.857551782,0.857551782,0,"1,2"
prio,61,0.856453644,0.856453644,0,"1,2"
baseline,62,0.888409380,0.888409380,0,"1,2"
prio,62,0.994046110,0.994046110,0,"1,2"
baseline,63,0.859387281,0.859387281,0,"1,2"
prio,63,0.855681602,0.855681602,0,"1,2"
baseline,64,0.856396783,0.856396783,0,"1,2"
prio,64,0.857998060,0.857998060,0,"1,2"
baseline,65,0.858295275,0.858295275,0,"1,2"
prio,65,0.857209679,0.857209679,0,"1,2"
baseline,66,0.867354127,0.867354127,0,"1,2"
prio,66,0.857860111,0.857860111,0,"1,2"
baseline,67,0.859660600,0.859660600,0,"1,2"
prio,67,0.858912467,0.858912467,0,"1,2"
baseline,68,0.856861146,0.856861146,0,"1,2"
prio,68,1.065185691,1.065185691,0,"1,2"
baseline,69,0.859011061,0.859011061,0,"1,2"
prio,69,0.856342856,0.856342856,0,"1,2"
baseline,70,0.856698406,0.856698406,0,"1,2"
prio,70,0.908366987,0.908366987,0,"1,2"
baseline,71,0.856497742,0.856497742,0,"1,2"
prio,71,0.867670499,0.867670499,0,"1,2"
baseline,72,0.858107772,0.858107772,0,"1,2"
prio,72,0.861801748,0.861801748,0,"1,2"
baseline,73,0.857963692,0.857963692,0,"1,2"
prio,73,0.857081391,0.857081391,0,"1,2"
baseline,74,0.890636946,0.890636946,0,"1,2"
prio,74,0.856936436,0.856936436,0,"1,2"
baseline,75,0.857989080,0.857989080,0,"1,2"
prio,75,0.984702140,0.984702140,0,"1,2"
baseline,76,0.856949862,0.856949862,0,"1,2"
prio,76,0.983306209,0.983306209,0,"1,2"
baseline,77,0.858190345,0.858190345,0,"1,2"
prio,77,1.057018508,1.057018508,0,"1,2"
baseline,78,0.930069407,0.930069407,0,"1,2"
prio,78,0.927986462,0.927986462,0,"1,2"
baseline,79,0.894883750,0.894883750,0,"1,2"
prio,79,0.856876382,0.856876382,0,"1,2"
baseline,80,0.859874180,0.859874180,0,"1,2"
prio,80,0.857730691,0.857730691,0,"1,2"
baseline,81,0.858101700,0.858101700,0,"1,2"
prio,81,0.857488902,0.857488902,0,"1,2"
baseline,82,0.865393567,0.865393567,0,"1,2"
prio,82,0.929753138,0.929753138,0,"1,2"
baseline,83,0.860024408,0.860024408,0,"1,2"
prio,83,0.902465185,0.902465185,0,"1,2"
baseline,84,0.856514735,0.856514735,0,"1,2"
prio,84,0.871926640,0.871926640,0,"1,2"
baseline,85,0.882003005,0.882003005,0,"1,2"
prio,85,0.857757846,0.857757846,0,"1,2"
baseline,86,0.857196090,0.857196090,0,"1,2"
prio,86,0.856482372,0.856482372,0,"1,2"
baseline,87,0.856767921,0.856767921,0,"1,2"
prio,87,0.862667848,0.862667848,0,"1,2"
baseline,88,0.857653732,0.857653732,0,"1,2"
prio,88,0.921011874,0.921011874,0,"1,2"
baseline,89,0.857717614,0.857717614,0,"1,2"
prio,89,0.857221192,0.857221192,0,"1,2"
baseline,90,0.857891455,0.857891455,0,"1,2"
prio,90,0.900007812,0.900007812,0,"1,2"
baseline,91,0.856547149,0.856547149,0,"1,2"
prio,91,0.897282819,0.897282819,0,"1,2"
baseline,92,0.860459631,0.860459631,0,"1,2"
prio,92,0.856538989,0.856538989,0,"1,2"
baseline,93,0.856886373,0.856886373,0,"1,2"
prio,93,0.856261032,0.856261032,0,"1,2"
baseline,94,0.857355093,0.857355093,0,"1,2"
prio,94,1.017109677,1.017109677,0,"1,2"
baseline,95,0.858214070,0.858214070,0,"1,2"
prio,95,0.909480487,0.909480487,0,"1,2"
baseline,96,0.857408189,0.857408189,0,"1,2"
prio,96,0.855952461,0.855952461,0,"1,2"
baseline,97,0.856681058,0.856681058,0,"1,2"
prio,97,0.855709796,0.855709796,0,"1,2"
baseline,98,0.856497019,0.856497019,0,"1,2"
prio,98,1.038807829,1.038807829,0,"1,2"
baseline,99,0.857068700,0.857068700,0,"1,2"
prio,99,0.856168313,0.856168313,0,"1,2"
