program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.089816202,0.089816202,0,"1,2"
prio,0,0.088748227,0.088748227,0,"1,2"
baseline,1,0.090140231,0.090140231,0,"1,2"
prio,1,0.085755679,0.085755679,0,"1,2"
baseline,2,0.112358644,0.112358644,0,"1,2"
prio,2,0.134411648,0.134411648,0,"1,2"
baseline,3,0.151909883,0.151909883,0,"1,2"
prio,3,0.105614844,0.105614844,0,"1,2"
baseline,4,0.092785344,0.092785344,0,"1,2"
prio,4,0.088929348,0.088929348,0,"1,2"
baseline,5,0.090951843,0.090951843,0,"1,2"
prio,5,0.093043308,0.093043308,0,"1,2"
baseline,6,0.091377867,0.091377867,0,"1,2"
prio,6,0.088688268,0.088688268,0,"1,2"
baseline,7,0.093635291,0.093635291,0,"1,2"
prio,7,0.090168147,0.090168147,0,"1,2"
baseline,8,0.099431209,0.099431209,0,"1,2"
prio,8,0.090431320,0.090431320,0,"1,2"
baseline,9,0.091293284,0.091293284,0,"1,2"
prio,9,0.087444269,0.087444269,0,"1,2"
baseline,10,0.093509784,0.093509784,0,"1,2"
prio,10,0.088746740,0.088746740,0,"1,2"
baseline,11,0.090676126,0.090676126,0,"1,2"
prio,11,0.088444414,0.088444414,0,"1,2"
baseline,12,0.089831800,0.089831800,0,"1,2"
prio,12,0.106161064,0.106161064,0,"1,2"
baseline,13,0.155407868,0.155407868,0,"1,2"
prio,13,0.111314450,0.111314450,0,"1,2"
baseline,14,0.090251879,0.090251879,0,"1,2"
prio,14,0.090816437,0.090816437,0,"1,2"
baseline,15,0.090609752,0.090609752,0,"1,2"
prio,15,0.089628768,0.089628768,0,"1,2"
baseline,16,0.090761472,0.090761472,0,"1,2"
prio,16,0.088148721,0.088148721,0,"1,2"
baseline,17,0.092408123,0.092408123,0,"1,2"
prio,17,0.088380356,0.088380356,0,"1,2"
baseline,18,0.089280696,0.089280696,0,"1,2"
prio,18,0.088450136,0.088450136,0,"1,2"
baseline,19,0.091115601,0.091115601,0,"1,2"
prio,19,0.089461700,0.089461700,0,"1,2"
baseline,20,0.089537513,0.089537513,0,"1,2"
prio,20,0.088702891,0.088702891,0,"1,2"
baseline,21,0.090564389,0.090564389,0,"1,2"
prio,21,0.088397725,0.088397725,0,"1,2"
baseline,22,0.089901697,0.089901697,0,"1,2"
prio,22,0.090685479,0.090685479,0,"1,2"
baseline,23,0.113508467,0.113508467,0,"1,2"
prio,23,0.104523063,0.104523063,0,"1,2"
baseline,24,0.123309687,0.123309687,0,"1,2"
prio,24,0.105077441,0.105077441,0,"1,2"
baseline,25,0.091150086,0.091150086,0,"1,2"
prio,25,0.088130714,0.088130714,0,"1,2"
baseline,26,0.090431873,0.090431873,0,"1,2"
prio,26,0.088946989,0.088946989,0,"1,2"
baseline,27,0.090525763,0.090525763,0,"1,2"
prio,27,0.088504849,0.088504849,0,"1,2"
baseline,28,0.094916780,0.094916780,0,"1,2"
prio,28,0.088746842,0.088746842,0,"1,2"
baseline,29,0.092468075,0.092468075,0,"1,2"
prio,29,0.087892902,0.087892902,0,"1,2"
baseline,30,0.090651961,0.090651961,0,"1,2"
prio,30,0.087506089,0.087506089,0,"1,2"
baseline,31,0.089361404,0.089361404,0,"1,2"
prio,31,0.088604958,0.088604958,0,"1,2"
baseline,32,0.097052387,0.097052387,0,"1,2"
prio,32,0.087528439,0.087528439,0,"1,2"
baseline,33,0.090520982,0.090520982,0,"1,2"
prio,33,0.114032747,0.114032747,0,"1,2"
baseline,34,0.161902134,0.161902134,0,"1,2"
prio,34,0.117870095,0.117870095,0,"1,2"
baseline,35,0.097574451,0.097574451,0,"1,2"
prio,35,0.088653136,0.088653136,0,"1,2"
baseline,36,0.092335431,0.092335431,0,"1,2"
prio,36,0.087845291,0.087845291,0,"1,2"
baseline,37,0.089655553,0.089655553,0,"1,2"
prio,37,0.086793686,0.086793686,0,"1,2"
baseline,38,0.089742555,0.089742555,0,"1,2"
prio,38,0.088402784,0.088402784,0,"1,2"
baseline,39,0.090370815,0.090370815,0,"1,2"
prio,39,0.086792427,0.086792427,0,"1,2"
baseline,40,0.091947141,0.091947141,0,"1,2"
prio,40,0.087708878,0.087708878,0,"1,2"
baseline,41,0.089965898,0.089965898,0,"1,2"
prio,41,0.086642912,0.086642912,0,"1,2"
baseline,42,0.089538069,0.089538069,0,"1,2"
