program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,4.682902384,4.682902384,0,"0,1"
prio,0,1.686317759,1.686317759,0,"0,1"
baseline,1,4.061873503,4.061873503,0,"0,1"
prio,1,1.693068508,1.693068508,0,"0,1"
baseline,2,2.772527302,2.772527302,0,"0,1"
prio,2,1.704903461,1.704903461,0,"0,1"
baseline,3,1.637949252,1.637949252,0,"0,1"
prio,3,1.614925916,1.614925916,0,"0,1"
baseline,4,1.630631791,1.630631791,0,"0,1"
prio,4,1.633096123,1.633096123,0,"0,1"
baseline,5,1.659521567,1.659521567,0,"0,1"
prio,5,1.647283211,1.647283211,0,"0,1"
baseline,6,1.650485845,1.650485845,0,"0,1"
prio,6,1.659546820,1.659546820,0,"0,1"
baseline,7,1.656906550,1.656906550,0,"0,1"
prio,7,1.642879200,1.642879200,0,"0,1"
baseline,8,1.653222242,1.653222242,0,"0,1"
prio,8,1.663877499,1.663877499,0,"0,1"
baseline,9,1.620972378,1.620972378,0,"0,1"
prio,9,1.636521293,1.636521293,0,"0,1"
baseline,10,1.665417002,1.665417002,0,"0,1"
prio,10,1.655447960,1.655447960,0,"0,1"
baseline,11,1.645733653,1.645733653,0,"0,1"
prio,11,1.633989155,1.633989155,0,"0,1"
baseline,12,1.640754182,1.640754182,0,"0,1"
prio,12,1.705952018,1.705952018,0,"0,1"
baseline,13,1.644807477,1.644807477,0,"0,1"
prio,13,1.631481902,1.631481902,0,"0,1"
baseline,14,1.627180068,1.627180068,0,"0,1"
prio,14,1.627472892,1.627472892,0,"0,1"
baseline,15,1.637829455,1.637829455,0,"0,1"
prio,15,1.636708126,1.636708126,0,"0,1"
baseline,16,1.625495825,1.625495825,0,"0,1"
prio,16,1.631473380,1.631473380,0,"0,1"
baseline,17,1.644151738,1.644151738,0,"0,1"
prio,17,1.627470879,1.627470879,0,"0,1"
baseline,18,1.657820628,1.657820628,0,"0,1"
prio,18,1.641263264,1.641263264,0,"0,1"
baseline,19,1.646229178,1.646229178,0,"0,1"
prio,19,1.642957190,1.642957190,0,"0,1"
baseline,20,1.631082018,1.631082018,0,"0,1"
prio,20,1.828897591,1.828897591,0,"0,1"
baseline,21,1.642415537,1.642415537,0,"0,1"
prio,21,1.827558541,1.827558541,0,"0,1"
baseline,22,1.651900915,1.651900915,0,"0,1"
prio,22,1.628921513,1.628921513,0,"0,1"
baseline,23,1.636855091,1.636855091,0,"0,1"
prio,23,1.627581105,1.627581105,0,"0,1"
baseline,24,1.661632769,1.661632769,0,"0,1"
prio,24,1.642837395,1.642837395,0,"0,1"
baseline,25,1.625544545,1.625544545,0,"0,1"
prio,25,1.658450117,1.658450117,0,"0,1"
baseline,26,1.627653034,1.627653034,0,"0,1"
prio,26,1.622209719,1.622209719,0,"0,1"
baseline,27,1.633471944,1.633471944,0,"0,1"
prio,27,1.637843582,1.637843582,0,"0,1"
baseline,28,1.649883117,1.649883117,0,"0,1"
prio,28,1.644661899,1.644661899,0,"0,1"
baseline,29,1.635509115,1.635509115,0,"0,1"
prio,29,1.629148495,1.629148495,0,"0,1"
baseline,30,1.636380023,1.636380023,0,"0,1"
prio,30,1.631622601,1.631622601,0,"0,1"
baseline,31,1.636411703,1.636411703,0,"0,1"
prio,31,1.626514310,1.626514310,0,"0,1"
baseline,32,1.626556827,1.626556827,0,"0,1"
prio,32,1.628365968,1.628365968,0,"0,1"
baseline,33,1.643095064,1.643095064,0,"0,1"
prio,33,1.626037880,1.626037880,0,"0,1"
baseline,34,1.639461064,1.639461064,0,"0,1"
prio,34,1.629652369,1.629652369,0,"0,1"
baseline,35,1.648190469,1.648190469,0,"0,1"
prio,35,1.646169911,1.646169911,0,"0,1"
baseline,36,1.633214085,1.633214085,0,"0,1"
prio,36,1.664829367,1.664829367,0,"0,1"
baseline,37,1.619683151,1.619683151,0,"0,1"
prio,37,1.627660265,1.627660265,0,"0,1"
baseline,38,1.650924217,1.650924217,0,"0,1"
prio,38,1.626889469,1.626889469,0,"0,1"
baseline,39,1.619892541,1.619892541,0,"0,1"
prio,39,1.708756976,1.708756976,0,"0,1"
baseline,40,1.650774268,1.650774268,0,"0,1"
prio,40,1.721360023,1.721360023,0,"0,1"
baseline,41,1.652435346,1.652435346,0,"0,1"
prio,41,1.619967095,1.619967095,0,"0,1"
baseline,42,1.621954824,1.621954824,0,"0,1"
prio,42,1.662133180,1.662133180,0,"0,1"
baseline,43,1.619720093,1.619720093,0,"0,1"
prio,43,1.637922761,1.637922761,0,"0,1"
baseline,44,1.674086159,1.674086159,0,"0,1"
prio,44,1.647573264,1.647573264,0,"0,1"
baseline,45,1.643466887,1.643466887,0,"0,1"
prio,45,1.627297089,1.627297089,0,"0,1"
baseline,46,1.640927081,1.640927081,0,"0,1"
prio,46,1.830208422,1.830208422,0,"0,1"
baseline,47,1.642722199,1.642722199,0,"0,1"
prio,47,1.649623917,1.649623917,0,"0,1"
baseline,48,1.641882149,1.641882149,0,"0,1"
prio,48,1.764102093,1.764102093,0,"0,1"
baseline,49,1.618295868,1.618295868,0,"0,1"
prio,49,1.636019868,1.636019868,0,"0,1"
baseline,50,1.656902090,1.656902090,0,"0,1"
prio,50,1.641428623,1.641428623,0,"0,1"
baseline,51,1.639748659,1.639748659,0,"0,1"
prio,51,1.629608634,1.629608634,0,"0,1"
baseline,52,1.634195469,1.634195469,0,"0,1"
prio,52,1.621933364,1.621933364,0,"0,1"
baseline,53,1.638095056,1.638095056,0,"0,1"
prio,53,1.626223219,1.626223219,0,"0,1"
baseline,54,1.639535631,1.639535631,0,"0,1"
prio,54,1.768579407,1.768579407,0,"0,1"
baseline,55,1.664631001,1.664631001,0,"0,1"
prio,55,1.618663713,1.618663713,0,"0,1"
baseline,56,1.610752299,1.610752299,0,"0,1"
prio,56,1.628482725,1.628482725,0,"0,1"
baseline,57,1.633682200,1.633682200,0,"0,1"
prio,57,1.611356330,1.611356330,0,"0,1"
baseline,58,1.613882119,1.613882119,0,"0,1"
prio,58,1.611034295,1.611034295,0,"0,1"
baseline,59,1.612575008,1.612575008,0,"0,1"
prio,59,1.630415435,1.630415435,0,"0,1"
baseline,60,1.614078421,1.614078421,0,"0,1"
prio,60,1.621829654,1.621829654,0,"0,1"
baseline,61,1.634613823,1.634613823,0,"0,1"
prio,61,1.613511924,1.613511924,0,"0,1"
baseline,62,1.613791437,1.613791437,0,"0,1"
prio,62,1.610402546,1.610402546,0,"0,1"
baseline,63,1.613060486,1.613060486,0,"0,1"
prio,63,1.656365926,1.656365926,0,"0,1"
baseline,64,1.610257352,1.610257352,0,"0,1"
prio,64,1.611361161,1.611361161,0,"0,1"
baseline,65,1.612407525,1.612407525,0,"0,1"
prio,65,1.610162950,1.610162950,0,"0,1"
baseline,66,1.613708272,1.613708272,0,"0,1"
prio,66,1.617484106,1.617484106,0,"0,1"
baseline,67,1.613306698,1.613306698,0,"0,1"
prio,67,1.610565414,1.610565414,0,"0,1"
baseline,68,1.612301334,1.612301334,0,"0,1"
prio,68,1.612291775,1.612291775,0,"0,1"
baseline,69,1.612582079,1.612582079,0,"0,1"
