program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.092273705,0.092273705,0,"1,2"
prio,0,0.088888429,0.088888429,0,"1,2"
baseline,1,0.090842594,0.090842594,0,"1,2"
prio,1,0.095102766,0.095102766,0,"1,2"
baseline,2,0.094170687,0.094170687,0,"1,2"
prio,2,0.114906237,0.114906237,0,"1,2"
baseline,3,0.182453078,0.182453078,0,"1,2"
prio,3,0.102053879,0.102053879,0,"1,2"
baseline,4,0.091555748,0.091555748,0,"1,2"
prio,4,0.090479807,0.090479807,0,"1,2"
baseline,5,0.089944538,0.089944538,0,"1,2"
prio,5,0.086384535,0.086384535,0,"1,2"
baseline,6,0.091313829,0.091313829,0,"1,2"
prio,6,0.088632258,0.088632258,0,"1,2"
baseline,7,0.091325746,0.091325746,0,"1,2"
prio,7,0.091195197,0.091195197,0,"1,2"
baseline,8,0.091325910,0.091325910,0,"1,2"
prio,8,0.092694619,0.092694619,0,"1,2"
baseline,9,0.092227970,0.092227970,0,"1,2"
prio,9,0.091082068,0.091082068,0,"1,2"
baseline,10,0.088935127,0.088935127,0,"1,2"
prio,10,0.088818284,0.088818284,0,"1,2"
baseline,11,0.089620558,0.089620558,0,"1,2"
prio,11,0.090284349,0.090284349,0,"1,2"
baseline,12,0.089196647,0.089196647,0,"1,2"
prio,12,0.111547868,0.111547868,0,"1,2"
baseline,13,0.126546513,0.126546513,0,"1,2"
prio,13,0.116197209,0.116197209,0,"1,2"
baseline,14,0.114416901,0.114416901,0,"1,2"
prio,14,0.087262812,0.087262812,0,"1,2"
baseline,15,0.091833006,0.091833006,0,"1,2"
prio,15,0.090868680,0.090868680,0,"1,2"
baseline,16,0.091526026,0.091526026,0,"1,2"
prio,16,0.088229932,0.088229932,0,"1,2"
baseline,17,0.090430775,0.090430775,0,"1,2"
prio,17,0.088581768,0.088581768,0,"1,2"
baseline,18,0.090161694,0.090161694,0,"1,2"
prio,18,0.091836058,0.091836058,0,"1,2"
baseline,19,0.092001853,0.092001853,0,"1,2"
prio,19,0.087679754,0.087679754,0,"1,2"
baseline,20,0.090512060,0.090512060,0,"1,2"
prio,20,0.088102322,0.088102322,0,"1,2"
baseline,21,0.091365201,0.091365201,0,"1,2"
prio,21,0.089894942,0.089894942,0,"1,2"
baseline,22,0.089718509,0.089718509,0,"1,2"
prio,22,0.090021025,0.090021025,0,"1,2"
baseline,23,0.090391497,0.090391497,0,"1,2"
prio,23,0.144594012,0.144594012,0,"1,2"
baseline,24,0.130574149,0.130574149,0,"1,2"
prio,24,0.094011060,0.094011060,0,"1,2"
baseline,25,0.091592673,0.091592673,0,"1,2"
prio,25,0.090063551,0.090063551,0,"1,2"
baseline,26,0.094333801,0.094333801,0,"1,2"
prio,26,0.087601570,0.087601570,0,"1,2"
baseline,27,0.091303462,0.091303462,0,"1,2"
prio,27,0.088391082,0.088391082,0,"1,2"
baseline,28,0.089815303,0.089815303,0,"1,2"
prio,28,0.087966922,0.087966922,0,"1,2"
baseline,29,0.089528302,0.089528302,0,"1,2"
prio,29,0.087895542,0.087895542,0,"1,2"
