program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.597402461,0.597402461,0,"0,1"
prio,0,0.437812153,0.437812153,0,"0,1"
baseline,1,0.500509038,0.500509038,0,"0,1"
prio,1,0.457998922,0.457998922,0,"0,1"
baseline,2,0.587105116,0.587105116,0,"0,1"
prio,2,0.443504714,0.443504714,0,"0,1"
baseline,3,0.476238166,0.476238166,0,"0,1"
prio,3,0.476837249,0.476837249,0,"0,1"
baseline,4,0.583471078,0.583471078,0,"0,1"
prio,4,0.449304904,0.449304904,0,"0,1"
baseline,5,0.479983505,0.479983505,0,"0,1"
prio,5,0.457509975,0.457509975,0,"0,1"
baseline,6,0.608996024,0.608996024,0,"0,1"
prio,6,0.443097732,0.443097732,0,"0,1"
baseline,7,0.477951065,0.477951065,0,"0,1"
prio,7,0.453416276,0.453416276,0,"0,1"
baseline,8,0.596276913,0.596276913,0,"0,1"
prio,8,0.446462149,0.446462149,0,"0,1"
baseline,9,0.477538294,0.477538294,0,"0,1"
prio,9,0.443275296,0.443275296,0,"0,1"
baseline,10,0.593782159,0.593782159,0,"0,1"
prio,10,0.451187811,0.451187811,0,"0,1"
baseline,11,0.457881727,0.457881727,0,"0,1"
prio,11,0.435337918,0.435337918,0,"0,1"
baseline,12,0.604338664,0.604338664,0,"0,1"
prio,12,0.436473673,0.436473673,0,"0,1"
baseline,13,0.479941589,0.479941589,0,"0,1"
prio,13,0.435658717,0.435658717,0,"0,1"
baseline,14,0.540485270,0.540485270,0,"0,1"
prio,14,0.436448550,0.436448550,0,"0,1"
baseline,15,0.477194551,0.477194551,0,"0,1"
prio,15,0.435433213,0.435433213,0,"0,1"
baseline,16,0.549033602,0.549033602,0,"0,1"
prio,16,0.451831992,0.451831992,0,"0,1"
baseline,17,0.487797445,0.487797445,0,"0,1"
prio,17,0.438248118,0.438248118,0,"0,1"
baseline,18,0.552105171,0.552105171,0,"0,1"
prio,18,0.451376936,0.451376936,0,"0,1"
baseline,19,0.479204969,0.479204969,0,"0,1"
prio,19,0.435382667,0.435382667,0,"0,1"
