program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,1.642524177,1.642524177,0,"0,1"
prio,0,1.632194398,1.632194398,0,"0,1"
baseline,1,1.626481260,1.626481260,0,"0,1"
prio,1,1.625658071,1.625658071,0,"0,1"
baseline,2,1.665100098,1.665100098,0,"0,1"
prio,2,1.631026186,1.631026186,0,"0,1"
baseline,3,1.659818270,1.659818270,0,"0,1"
prio,3,1.642432569,1.642432569,0,"0,1"
baseline,4,1.637442796,1.637442796,0,"0,1"
prio,4,1.675776996,1.675776996,0,"0,1"
baseline,5,1.640359379,1.640359379,0,"0,1"
prio,5,1.673468879,1.673468879,0,"0,1"
baseline,6,1.669497886,1.669497886,0,"0,1"
prio,6,1.655208909,1.655208909,0,"0,1"
baseline,7,1.631559500,1.631559500,0,"0,1"
prio,7,1.632078021,1.632078021,0,"0,1"
baseline,8,1.624908558,1.624908558,0,"0,1"
prio,8,1.635419006,1.635419006,0,"0,1"
baseline,9,1.636525834,1.636525834,0,"0,1"
prio,9,1.659243178,1.659243178,0,"0,1"
baseline,10,1.615339262,1.615339262,0,"0,1"
prio,10,1.620829095,1.620829095,0,"0,1"
baseline,11,1.662242828,1.662242828,0,"0,1"
prio,11,1.634385724,1.634385724,0,"0,1"
baseline,12,1.655025167,1.655025167,0,"0,1"
prio,12,1.654114193,1.654114193,0,"0,1"
baseline,13,1.648949717,1.648949717,0,"0,1"
prio,13,1.642449655,1.642449655,0,"0,1"
baseline,14,1.656686835,1.656686835,0,"0,1"
prio,14,1.631033053,1.631033053,0,"0,1"
baseline,15,1.619678940,1.619678940,0,"0,1"
prio,15,1.633730615,1.633730615,0,"0,1"
baseline,16,1.638418636,1.638418636,0,"0,1"
prio,16,1.635425686,1.635425686,0,"0,1"
baseline,17,1.657590011,1.657590011,0,"0,1"
prio,17,1.632715883,1.632715883,0,"0,1"
baseline,18,1.646059367,1.646059367,0,"0,1"
prio,18,1.627207464,1.627207464,0,"0,1"
baseline,19,1.642414746,1.642414746,0,"0,1"
prio,19,1.688319083,1.688319083,0,"0,1"
baseline,20,1.644578549,1.644578549,0,"0,1"
prio,20,1.626756840,1.626756840,0,"0,1"
baseline,21,1.641619953,1.641619953,0,"0,1"
prio,21,1.631953777,1.631953777,0,"0,1"
baseline,22,1.659722626,1.659722626,0,"0,1"
prio,22,1.626292234,1.626292234,0,"0,1"
baseline,23,1.621731829,1.621731829,0,"0,1"
prio,23,1.624289464,1.624289464,0,"0,1"
baseline,24,1.631196849,1.631196849,0,"0,1"
prio,24,1.629095263,1.629095263,0,"0,1"
baseline,25,1.641933858,1.641933858,0,"0,1"
prio,25,1.610306610,1.610306610,0,"0,1"
baseline,26,1.617253951,1.617253951,0,"0,1"
prio,26,1.627921318,1.627921318,0,"0,1"
baseline,27,1.642309577,1.642309577,0,"0,1"
prio,27,1.689858936,1.689858936,0,"0,1"
baseline,28,1.657623258,1.657623258,0,"0,1"
prio,28,1.632839291,1.632839291,0,"0,1"
baseline,29,1.625874035,1.625874035,0,"0,1"
prio,29,1.691599817,1.691599817,0,"0,1"
baseline,30,1.649200899,1.649200899,0,"0,1"
prio,30,1.626117113,1.626117113,0,"0,1"
baseline,31,1.657776898,1.657776898,0,"0,1"
prio,31,1.641047535,1.641047535,0,"0,1"
baseline,32,1.648481685,1.648481685,0,"0,1"
prio,32,1.635390973,1.635390973,0,"0,1"
baseline,33,1.636174060,1.636174060,0,"0,1"
prio,33,1.627630560,1.627630560,0,"0,1"
baseline,34,1.639378870,1.639378870,0,"0,1"
prio,34,1.649397839,1.649397839,0,"0,1"
baseline,35,1.617799788,1.617799788,0,"0,1"
prio,35,1.634153349,1.634153349,0,"0,1"
baseline,36,1.646578053,1.646578053,0,"0,1"
prio,36,1.636179506,1.636179506,0,"0,1"
baseline,37,1.648604205,1.648604205,0,"0,1"
prio,37,1.625716150,1.625716150,0,"0,1"
baseline,38,1.644792787,1.644792787,0,"0,1"
prio,38,1.630740137,1.630740137,0,"0,1"
baseline,39,1.666220848,1.666220848,0,"0,1"
prio,39,1.775400524,1.775400524,0,"0,1"
baseline,40,1.636786098,1.636786098,0,"0,1"
prio,40,1.638435176,1.638435176,0,"0,1"
baseline,41,1.632779555,1.632779555,0,"0,1"
prio,41,1.626333784,1.626333784,0,"0,1"
baseline,42,1.674956763,1.674956763,0,"0,1"
prio,42,1.632434350,1.632434350,0,"0,1"
baseline,43,1.623699227,1.623699227,0,"0,1"
prio,43,1.625649025,1.625649025,0,"0,1"
baseline,44,1.635572034,1.635572034,0,"0,1"
prio,44,1.637016940,1.637016940,0,"0,1"
baseline,45,1.679707252,1.679707252,0,"0,1"
prio,45,1.642544072,1.642544072,0,"0,1"
baseline,46,1.620778689,1.620778689,0,"0,1"
prio,46,1.632732923,1.632732923,0,"0,1"
baseline,47,1.630627857,1.630627857,0,"0,1"
prio,47,1.672329972,1.672329972,0,"0,1"
baseline,48,1.662736166,1.662736166,0,"0,1"
prio,48,1.641507464,1.641507464,0,"0,1"
baseline,49,1.625178025,1.625178025,0,"0,1"
prio,49,1.629766018,1.629766018,0,"0,1"
baseline,50,1.619803830,1.619803830,0,"0,1"
prio,50,1.637946229,1.637946229,0,"0,1"
baseline,51,1.633673442,1.633673442,0,"0,1"
prio,51,1.626333119,1.626333119,0,"0,1"
baseline,52,1.636730395,1.636730395,0,"0,1"
prio,52,1.629328817,1.629328817,0,"0,1"
baseline,53,1.644907397,1.644907397,0,"0,1"
prio,53,1.623323740,1.623323740,0,"0,1"
baseline,54,1.661792879,1.661792879,0,"0,1"
prio,54,1.637277646,1.637277646,0,"0,1"
baseline,55,1.645412108,1.645412108,0,"0,1"
prio,55,1.676703765,1.676703765,0,"0,1"
baseline,56,1.641693466,1.641693466,0,"0,1"
prio,56,1.648842652,1.648842652,0,"0,1"
baseline,57,1.649098408,1.649098408,0,"0,1"
prio,57,1.628277487,1.628277487,0,"0,1"
baseline,58,1.615537400,1.615537400,0,"0,1"
prio,58,1.627405298,1.627405298,0,"0,1"
baseline,59,1.642062475,1.642062475,0,"0,1"
prio,59,1.658451611,1.658451611,0,"0,1"
baseline,60,1.645358895,1.645358895,0,"0,1"
prio,60,1.693540446,1.693540446,0,"0,1"
baseline,61,1.636713002,1.636713002,0,"0,1"
prio,61,1.679420494,1.679420494,0,"0,1"
baseline,62,1.676698841,1.676698841,0,"0,1"
prio,62,1.631890339,1.631890339,0,"0,1"
baseline,63,1.646408096,1.646408096,0,"0,1"
prio,63,1.709024183,1.709024183,0,"0,1"
baseline,64,1.630715358,1.630715358,0,"0,1"
prio,64,1.632683540,1.632683540,0,"0,1"
baseline,65,1.635518866,1.635518866,0,"0,1"
prio,65,1.653593879,1.653593879,0,"0,1"
baseline,66,1.617748833,1.617748833,0,"0,1"
prio,66,1.763684230,1.763684230,0,"0,1"
baseline,67,1.653836145,1.653836145,0,"0,1"
prio,67,1.634318147,1.634318147,0,"0,1"
baseline,68,1.708188679,1.708188679,0,"0,1"
prio,68,1.635800067,1.635800067,0,"0,1"
baseline,69,1.628350091,1.628350091,0,"0,1"
prio,69,1.627489325,1.627489325,0,"0,1"
baseline,70,1.660675099,1.660675099,0,"0,1"
prio,70,1.634758650,1.634758650,0,"0,1"
baseline,71,1.651810758,1.651810758,0,"0,1"
