program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,1.648157042,1.663828867,1,"0,1"
prio,0,1.346118084,1.376000662,1,"0,1"
baseline,1,1.474281959,1.549425036,1,"0,1"
prio,1,1.348086834,1.425986160,1,"0,1"
baseline,2,1.571363500,1.601555480,1,"0,1"
prio,2,1.365452042,1.415955953,1,"0,1"
baseline,3,1.442206501,1.499924760,1,"0,1"
prio,3,1.345305793,1.402145500,1,"0,1"
baseline,4,1.695670667,1.737106394,1,"0,1"
prio,4,1.345792001,1.387148202,1,"0,1"
baseline,5,1.666711792,1.707949262,1,"0,1"
prio,5,1.345375500,1.375686811,1,"0,1"
baseline,6,1.550273667,1.559377989,1,"0,1"
prio,6,1.346699376,1.400254483,1,"0,1"
baseline,7,1.621199418,1.662569573,1,"0,1"
prio,7,1.344830959,1.384121128,1,"0,1"
baseline,8,1.562865501,1.575974693,1,"0,1"
prio,8,1.347648167,1.388082347,1,"0,1"
baseline,9,1.568695626,1.609368004,1,"0,1"
prio,9,1.344855750,1.388762865,1,"0,1"
