program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,3.491257534,3.491257534,0,"0,1,2,3"
prio,0,3.405870867,3.405870867,0,"0,1,2,3"
baseline,1,3.339017015,3.339017015,0,"0,1,2,3"
prio,1,3.364740928,3.364740928,0,"0,1,2,3"
baseline,2,3.483146730,3.483146730,0,"0,1,2,3"
prio,2,3.644483515,3.644483515,0,"0,1,2,3"
baseline,3,3.639411759,3.639411759,0,"0,1,2,3"
prio,3,3.324260253,3.324260253,0,"0,1,2,3"
baseline,4,3.512300181,3.512300181,0,"0,1,2,3"
prio,4,3.314581288,3.314581288,0,"0,1,2,3"
baseline,5,3.291024364,3.291024364,0,"0,1,2,3"
prio,5,3.765322413,3.765322413,0,"0,1,2,3"
baseline,6,3.345958543,3.345958543,0,"0,1,2,3"
prio,6,3.457885972,3.457885972,0,"0,1,2,3"
baseline,7,3.368065820,3.368065820,0,"0,1,2,3"
prio,7,3.365558275,3.365558275,0,"0,1,2,3"
baseline,8,3.364550451,3.364550451,0,"0,1,2,3"
prio,8,3.412694526,3.412694526,0,"0,1,2,3"
baseline,9,3.462483082,3.462483082,0,"0,1,2,3"
prio,9,3.337079876,3.337079876,0,"0,1,2,3"
baseline,10,3.384139173,3.384139173,0,"0,1,2,3"
prio,10,3.696996842,3.696996842,0,"0,1,2,3"
baseline,11,3.373607102,3.373607102,0,"0,1,2,3"
prio,11,3.430949353,3.430949353,0,"0,1,2,3"
baseline,12,3.446490019,3.446490019,0,"0,1,2,3"
prio,12,3.353785800,3.353785800,0,"0,1,2,3"
baseline,13,3.386686241,3.386686241,0,"0,1,2,3"
prio,13,3.480259415,3.480259415,0,"0,1,2,3"
baseline,14,3.531924256,3.531924256,0,"0,1,2,3"
prio,14,3.559527009,3.559527009,0,"0,1,2,3"
baseline,15,3.630789859,3.630789859,0,"0,1,2,3"
prio,15,3.537866740,3.537866740,0,"0,1,2,3"
baseline,16,3.484922077,3.484922077,0,"0,1,2,3"
prio,16,4.113014059,4.113014059,0,"0,1,2,3"
baseline,17,3.796720407,3.796720407,0,"0,1,2,3"
prio,17,3.273427995,3.273427995,0,"0,1,2,3"
baseline,18,3.483739705,3.483739705,0,"0,1,2,3"
prio,18,3.555768305,3.555768305,0,"0,1,2,3"
baseline,19,3.307942692,3.307942692,0,"0,1,2,3"
