program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.091304642,0.091304642,0,"1,2"
prio,0,0.092553304,0.092553304,0,"1,2"
baseline,1,0.092524048,0.092524048,0,"1,2"
prio,1,0.089386785,0.089386785,0,"1,2"
baseline,2,0.092716880,0.092716880,0,"1,2"
prio,2,0.088046162,0.088046162,0,"1,2"
baseline,3,0.090943408,0.090943408,0,"1,2"
prio,3,0.088842088,0.088842088,0,"1,2"
baseline,4,0.098491635,0.098491635,0,"1,2"
prio,4,0.089612439,0.089612439,0,"1,2"
baseline,5,0.129899885,0.129899885,0,"1,2"
prio,5,0.128945383,0.128945383,0,"1,2"
baseline,6,0.136420851,0.136420851,0,"1,2"
prio,6,0.100383506,0.100383506,0,"1,2"
baseline,7,0.093571155,0.093571155,0,"1,2"
prio,7,0.088963029,0.088963029,0,"1,2"
baseline,8,0.090367150,0.090367150,0,"1,2"
prio,8,0.091060080,0.091060080,0,"1,2"
baseline,9,0.091015954,0.091015954,0,"1,2"
prio,9,0.087650946,0.087650946,0,"1,2"
baseline,10,0.090424935,0.090424935,0,"1,2"
prio,10,0.090687292,0.090687292,0,"1,2"
baseline,11,0.093014327,0.093014327,0,"1,2"
prio,11,0.089352323,0.089352323,0,"1,2"
baseline,12,0.091536644,0.091536644,0,"1,2"
prio,12,0.089376479,0.089376479,0,"1,2"
baseline,13,0.091265396,0.091265396,0,"1,2"
prio,13,0.088861082,0.088861082,0,"1,2"
baseline,14,0.089008150,0.089008150,0,"1,2"
prio,14,0.086418978,0.086418978,0,"1,2"
baseline,15,0.104869298,0.104869298,0,"1,2"
prio,15,0.116815451,0.116815451,0,"1,2"
baseline,16,0.155298200,0.155298200,0,"1,2"
prio,16,0.107270430,0.107270430,0,"1,2"
baseline,17,0.093269577,0.093269577,0,"1,2"
prio,17,0.091348084,0.091348084,0,"1,2"
baseline,18,0.088459741,0.088459741,0,"1,2"
prio,18,0.091418514,0.091418514,0,"1,2"
baseline,19,0.092793414,0.092793414,0,"1,2"
prio,19,0.087988281,0.087988281,0,"1,2"
baseline,20,0.090538959,0.090538959,0,"1,2"
prio,20,0.088985256,0.088985256,0,"1,2"
baseline,21,0.093877983,0.093877983,0,"1,2"
prio,21,0.089076721,0.089076721,0,"1,2"
baseline,22,0.091438801,0.091438801,0,"1,2"
prio,22,0.087954564,0.087954564,0,"1,2"
baseline,23,0.089222189,0.089222189,0,"1,2"
prio,23,0.089027307,0.089027307,0,"1,2"
baseline,24,0.093767090,0.093767090,0,"1,2"
prio,24,0.088292534,0.088292534,0,"1,2"
baseline,25,0.090603319,0.090603319,0,"1,2"
prio,25,0.089234425,0.089234425,0,"1,2"
baseline,26,0.133971963,0.133971963,0,"1,2"
prio,26,0.133357334,0.133357334,0,"1,2"
baseline,27,0.126942158,0.126942158,0,"1,2"
prio,27,0.087919391,0.087919391,0,"1,2"
baseline,28,0.090043322,0.090043322,0,"1,2"
prio,28,0.088974533,0.088974533,0,"1,2"
baseline,29,0.090224567,0.090224567,0,"1,2"
prio,29,0.090852465,0.090852465,0,"1,2"
baseline,30,0.090604751,0.090604751,0,"1,2"
prio,30,0.088484723,0.088484723,0,"1,2"
baseline,31,0.089723126,0.089723126,0,"1,2"
prio,31,0.090066554,0.090066554,0,"1,2"
baseline,32,0.090148007,0.090148007,0,"1,2"
prio,32,0.088775231,0.088775231,0,"1,2"
baseline,33,0.090462877,0.090462877,0,"1,2"
prio,33,0.088465944,0.088465944,0,"1,2"
baseline,34,0.089534808,0.089534808,0,"1,2"
prio,34,0.088135541,0.088135541,0,"1,2"
baseline,35,0.088594026,0.088594026,0,"1,2"
prio,35,0.089759823,0.089759823,0,"1,2"
baseline,36,0.106001833,0.106001833,0,"1,2"
prio,36,0.126350669,0.126350669,0,"1,2"
baseline,37,0.156954084,0.156954084,0,"1,2"
prio,37,0.090278776,0.090278776,0,"1,2"
baseline,38,0.091396981,0.091396981,0,"1,2"
prio,38,0.091358215,0.091358215,0,"1,2"
baseline,39,0.090291175,0.090291175,0,"1,2"
prio,39,0.089627487,0.089627487,0,"1,2"
baseline,40,0.089673256,0.089673256,0,"1,2"
prio,40,0.086290363,0.086290363,0,"1,2"
baseline,41,0.087755985,0.087755985,0,"1,2"
prio,41,0.089005254,0.089005254,0,"1,2"
baseline,42,0.093549958,0.093549958,0,"1,2"
prio,42,0.087647952,0.087647952,0,"1,2"
baseline,43,0.090629069,0.090629069,0,"1,2"
prio,43,0.091146926,0.091146926,0,"1,2"
baseline,44,0.092658556,0.092658556,0,"1,2"
prio,44,0.088355496,0.088355496,0,"1,2"
baseline,45,0.090651132,0.090651132,0,"1,2"
prio,45,0.088532921,0.088532921,0,"1,2"
baseline,46,0.091473812,0.091473812,0,"1,2"
prio,46,0.089072618,0.089072618,0,"1,2"
baseline,47,0.088415457,0.088415457,0,"1,2"
prio,47,0.110606000,0.110606000,0,"1,2"
baseline,48,0.153911316,0.153911316,0,"1,2"
prio,48,0.104322416,0.104322416,0,"1,2"
baseline,49,0.112020235,0.112020235,0,"1,2"
prio,49,0.088832840,0.088832840,0,"1,2"
baseline,50,0.087553578,0.087553578,0,"1,2"
prio,50,0.090194956,0.090194956,0,"1,2"
baseline,51,0.090053132,0.090053132,0,"1,2"
prio,51,0.086897912,0.086897912,0,"1,2"
baseline,52,0.090652853,0.090652853,0,"1,2"
prio,52,0.086931516,0.086931516,0,"1,2"
baseline,53,0.090581038,0.090581038,0,"1,2"
prio,53,0.088914265,0.088914265,0,"1,2"
baseline,54,0.093032654,0.093032654,0,"1,2"
prio,54,0.088560501,0.088560501,0,"1,2"
baseline,55,0.091762830,0.091762830,0,"1,2"
prio,55,0.092863743,0.092863743,0,"1,2"
baseline,56,0.090830648,0.090830648,0,"1,2"
prio,56,0.089109385,0.089109385,0,"1,2"
baseline,57,0.088364157,0.088364157,0,"1,2"
prio,57,0.087726761,0.087726761,0,"1,2"
baseline,58,0.108755588,0.108755588,0,"1,2"
prio,58,0.110023390,0.110023390,0,"1,2"
baseline,59,0.167249477,0.167249477,0,"1,2"
prio,59,0.103732094,0.103732094,0,"1,2"
baseline,60,0.088755010,0.088755010,0,"1,2"
prio,60,0.087760684,0.087760684,0,"1,2"
baseline,61,0.089981074,0.089981074,0,"1,2"
prio,61,0.090391118,0.090391118,0,"1,2"
baseline,62,0.091031731,0.091031731,0,"1,2"
prio,62,0.089690846,0.089690846,0,"1,2"
baseline,63,0.093226409,0.093226409,0,"1,2"
prio,63,0.089591822,0.089591822,0,"1,2"
baseline,64,0.091350423,0.091350423,0,"1,2"
prio,64,0.089212139,0.089212139,0,"1,2"
baseline,65,0.089803573,0.089803573,0,"1,2"
prio,65,0.085892701,0.085892701,0,"1,2"
baseline,66,0.088902505,0.088902505,0,"1,2"
prio,66,0.090021018,0.090021018,0,"1,2"
baseline,67,0.091362244,0.091362244,0,"1,2"
prio,67,0.088156495,0.088156495,0,"1,2"
baseline,68,0.090255703,0.090255703,0,"1,2"
prio,68,0.112382745,0.112382745,0,"1,2"
baseline,69,0.167967481,0.167967481,0,"1,2"
prio,69,0.117902499,0.117902499,0,"1,2"
baseline,70,0.090609547,0.090609547,0,"1,2"
prio,70,0.094176560,0.094176560,0,"1,2"
baseline,71,0.091061167,0.091061167,0,"1,2"
prio,71,0.088443888,0.088443888,0,"1,2"
baseline,72,0.091325436,0.091325436,0,"1,2"
prio,72,0.092841023,0.092841023,0,"1,2"
baseline,73,0.091306545,0.091306545,0,"1,2"
prio,73,0.089382869,0.089382869,0,"1,2"
baseline,74,0.092135778,0.092135778,0,"1,2"
prio,74,0.088793073,0.088793073,0,"1,2"
baseline,75,0.089434242,0.089434242,0,"1,2"
prio,75,0.088237536,0.088237536,0,"1,2"
baseline,76,0.089035039,0.089035039,0,"1,2"
prio,76,0.094164863,0.094164863,0,"1,2"
baseline,77,0.089951815,0.089951815,0,"1,2"
prio,77,0.087623653,0.087623653,0,"1,2"
baseline,78,0.089634904,0.089634904,0,"1,2"
prio,78,0.087286766,0.087286766,0,"1,2"
baseline,79,0.113033610,0.113033610,0,"1,2"
prio,79,0.126450360,0.126450360,0,"1,2"
baseline,80,0.146980371,0.146980371,0,"1,2"
prio,80,0.088610008,0.088610008,0,"1,2"
baseline,81,0.090252247,0.090252247,0,"1,2"
prio,81,0.087890140,0.087890140,0,"1,2"
baseline,82,0.090191618,0.090191618,0,"1,2"
prio,82,0.087301595,0.087301595,0,"1,2"
baseline,83,0.087643727,0.087643727,0,"1,2"
prio,83,0.086928034,0.086928034,0,"1,2"
baseline,84,0.090534662,0.090534662,0,"1,2"
prio,84,0.087017167,0.087017167,0,"1,2"
baseline,85,0.089492543,0.089492543,0,"1,2"
prio,85,0.088620733,0.088620733,0,"1,2"
baseline,86,0.090691959,0.090691959,0,"1,2"
prio,86,0.091177324,0.091177324,0,"1,2"
baseline,87,0.088326248,0.088326248,0,"1,2"
prio,87,0.086567641,0.086567641,0,"1,2"
baseline,88,0.091148863,0.091148863,0,"1,2"
prio,88,0.088738645,0.088738645,0,"1,2"
baseline,89,0.087743226,0.087743226,0,"1,2"
prio,89,0.099507177,0.099507177,0,"1,2"
baseline,90,0.148472975,0.148472975,0,"1,2"
prio,90,0.109903780,0.109903780,0,"1,2"
baseline,91,0.097887215,0.097887215,0,"1,2"
prio,91,0.087585655,0.087585655,0,"1,2"
