program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,1.890143311,1.890143311,0,"0,1"
prio,0,1.845056500,1.845056500,0,"0,1"
baseline,1,1.857001536,1.857001536,0,"0,1"
prio,1,1.769862531,1.769862531,0,"0,1"
baseline,2,1.780010373,1.780010373,0,"0,1"
prio,2,1.755889681,1.755889681,0,"0,1"
baseline,3,1.774050979,1.774050979,0,"0,1"
prio,3,1.767666014,1.767666014,0,"0,1"
baseline,4,1.830796219,1.830796219,0,"0,1"
prio,4,1.768641955,1.768641955,0,"0,1"
baseline,5,1.754681587,1.754681587,0,"0,1"
prio,5,1.762487243,1.762487243,0,"0,1"
baseline,6,1.761949847,1.761949847,0,"0,1"
prio,6,1.765552969,1.765552969,0,"0,1"
baseline,7,1.846296100,1.846296100,0,"0,1"
prio,7,1.769589004,1.769589004,0,"0,1"
baseline,8,1.781621067,1.781621067,0,"0,1"
prio,8,1.806815828,1.806815828,0,"0,1"
baseline,9,1.885876326,1.885876326,0,"0,1"
prio,9,1.836111627,1.836111627,0,"0,1"
baseline,10,1.799336205,1.799336205,0,"0,1"
prio,10,1.863851980,1.863851980,0,"0,1"
baseline,11,1.825138016,1.825138016,0,"0,1"
prio,11,1.758407094,1.758407094,0,"0,1"
baseline,12,1.807035630,1.807035630,0,"0,1"
prio,12,1.832993850,1.832993850,0,"0,1"
baseline,13,1.788643436,1.788643436,0,"0,1"
prio,13,1.840111730,1.840111730,0,"0,1"
baseline,14,1.841300468,1.841300468,0,"0,1"
prio,14,1.860258741,1.860258741,0,"0,1"
baseline,15,1.842590733,1.842590733,0,"0,1"
prio,15,1.780152136,1.780152136,0,"0,1"
baseline,16,1.836362760,1.836362760,0,"0,1"
prio,16,1.804706362,1.804706362,0,"0,1"
baseline,17,1.777734809,1.777734809,0,"0,1"
prio,17,1.788593825,1.788593825,0,"0,1"
baseline,18,1.735177044,1.735177044,0,"0,1"
prio,18,1.763200887,1.763200887,0,"0,1"
baseline,19,1.865611570,1.865611570,0,"0,1"
prio,19,1.756263835,1.756263835,0,"0,1"
