program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,2.109017785,2.109017785,0,"0,1"
prio,0,2.115250723,2.115250723,0,"0,1"
baseline,1,2.172034494,2.172034494,0,"0,1"
prio,1,2.239765515,2.239765515,0,"0,1"
baseline,2,2.178387528,2.178387528,0,"0,1"
prio,2,2.247492393,2.247492393,0,"0,1"
baseline,3,2.220595913,2.220595913,0,"0,1"
prio,3,2.137322764,2.137322764,0,"0,1"
baseline,4,2.113220787,2.113220787,0,"0,1"
prio,4,2.149227521,2.149227521,0,"0,1"
baseline,5,2.220731649,2.220731649,0,"0,1"
prio,5,2.159887756,2.159887756,0,"0,1"
baseline,6,2.190218835,2.190218835,0,"0,1"
prio,6,2.095208622,2.095208622,0,"0,1"
baseline,7,2.183112958,2.183112958,0,"0,1"
prio,7,2.157106065,2.157106065,0,"0,1"
baseline,8,2.257224471,2.257224471,0,"0,1"
prio,8,2.072501962,2.072501962,0,"0,1"
baseline,9,2.099096067,2.099096067,0,"0,1"
prio,9,2.205592898,2.205592898,0,"0,1"
baseline,10,2.227626946,2.227626946,0,"0,1"
prio,10,2.155863263,2.155863263,0,"0,1"
baseline,11,2.087967274,2.087967274,0,"0,1"
prio,11,2.190441635,2.190441635,0,"0,1"
baseline,12,2.189956022,2.189956022,0,"0,1"
prio,12,2.199808705,2.199808705,0,"0,1"
baseline,13,2.211684960,2.211684960,0,"0,1"
prio,13,2.131065810,2.131065810,0,"0,1"
baseline,14,2.094782401,2.094782401,0,"0,1"
prio,14,2.221468183,2.221468183,0,"0,1"
baseline,15,2.152856964,2.152856964,0,"0,1"
prio,15,2.112762743,2.112762743,0,"0,1"
baseline,16,2.237605518,2.237605518,0,"0,1"
prio,16,2.086332087,2.086332087,0,"0,1"
baseline,17,2.207997332,2.207997332,0,"0,1"
prio,17,2.217337949,2.217337949,0,"0,1"
baseline,18,2.138005900,2.138005900,0,"0,1"
prio,18,2.152856616,2.152856616,0,"0,1"
baseline,19,2.194040016,2.194040016,0,"0,1"
prio,19,2.115749578,2.115749578,0,"0,1"
