program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,1.874603443,1.874603443,0,"0,1"
prio,0,1.847050983,1.847050983,0,"0,1"
baseline,1,1.898653176,1.898653176,0,"0,1"
prio,1,1.868364965,1.868364965,0,"0,1"
baseline,2,1.792571414,1.792571414,0,"0,1"
prio,2,1.793252911,1.793252911,0,"0,1"
baseline,3,1.813002258,1.813002258,0,"0,1"
prio,3,1.884685451,1.884685451,0,"0,1"
baseline,4,1.806700731,1.806700731,0,"0,1"
prio,4,1.805352762,1.805352762,0,"0,1"
baseline,5,1.780723445,1.780723445,0,"0,1"
prio,5,1.799090519,1.799090519,0,"0,1"
baseline,6,1.897808722,1.897808722,0,"0,1"
prio,6,1.970345675,1.970345675,0,"0,1"
baseline,7,1.810059497,1.810059497,0,"0,1"
prio,7,1.791227951,1.791227951,0,"0,1"
baseline,8,1.790722155,1.790722155,0,"0,1"
prio,8,1.850426258,1.850426258,0,"0,1"
baseline,9,1.809344134,1.809344134,0,"0,1"
prio,9,1.870490479,1.870490479,0,"0,1"
baseline,10,1.840188352,1.840188352,0,"0,1"
prio,10,1.855669084,1.855669084,0,"0,1"
baseline,11,1.866653815,1.866653815,0,"0,1"
prio,11,1.795359332,1.795359332,0,"0,1"
baseline,12,1.814644140,1.814644140,0,"0,1"
prio,12,1.792949003,1.792949003,0,"0,1"
baseline,13,1.930573512,1.930573512,0,"0,1"
prio,13,1.803442374,1.803442374,0,"0,1"
baseline,14,1.803767701,1.803767701,0,"0,1"
prio,14,1.827908213,1.827908213,0,"0,1"
baseline,15,1.819611750,1.819611750,0,"0,1"
prio,15,1.859805226,1.859805226,0,"0,1"
baseline,16,1.797623609,1.797623609,0,"0,1"
prio,16,1.804242151,1.804242151,0,"0,1"
baseline,17,1.856370841,1.856370841,0,"0,1"
prio,17,1.887579464,1.887579464,0,"0,1"
baseline,18,1.875914131,1.875914131,0,"0,1"
prio,18,1.892463622,1.892463622,0,"0,1"
baseline,19,1.790853984,1.790853984,0,"0,1"
prio,19,1.843762696,1.843762696,0,"0,1"
