program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,2.155931674,2.155931674,0,"0,1"
prio,0,2.165063490,2.165063490,0,"0,1"
baseline,1,2.123730597,2.123730597,0,"0,1"
prio,1,2.156885303,2.156885303,0,"0,1"
baseline,2,2.185721497,2.185721497,0,"0,1"
prio,2,2.124394586,2.124394586,0,"0,1"
baseline,3,2.249767971,2.249767971,0,"0,1"
prio,3,2.221933562,2.221933562,0,"0,1"
baseline,4,2.225153240,2.225153240,0,"0,1"
prio,4,2.170532748,2.170532748,0,"0,1"
baseline,5,2.246708414,2.246708414,0,"0,1"
prio,5,2.486949662,2.486949662,0,"0,1"
baseline,6,2.280112017,2.280112017,0,"0,1"
prio,6,2.144785572,2.144785572,0,"0,1"
baseline,7,2.108633844,2.108633844,0,"0,1"
prio,7,2.114139699,2.114139699,0,"0,1"
baseline,8,2.124924616,2.124924616,0,"0,1"
prio,8,2.287429719,2.287429719,0,"0,1"
baseline,9,2.123832232,2.123832232,0,"0,1"
prio,9,2.175675227,2.175675227,0,"0,1"
baseline,10,2.207565498,2.207565498,0,"0,1"
prio,10,2.185201872,2.185201872,0,"0,1"
baseline,11,2.207884810,2.207884810,0,"0,1"
prio,11,2.176921167,2.176921167,0,"0,1"
baseline,12,2.204502792,2.204502792,0,"0,1"
prio,12,2.202801818,2.202801818,0,"0,1"
baseline,13,2.225427048,2.225427048,0,"0,1"
prio,13,2.127453798,2.127453798,0,"0,1"
baseline,14,2.124155503,2.124155503,0,"0,1"
prio,14,2.104428598,2.104428598,0,"0,1"
baseline,15,2.095930761,2.095930761,0,"0,1"
prio,15,2.130904034,2.130904034,0,"0,1"
baseline,16,2.162681188,2.162681188,0,"0,1"
prio,16,2.079814437,2.079814437,0,"0,1"
baseline,17,2.159990644,2.159990644,0,"0,1"
prio,17,2.426589505,2.426589505,0,"0,1"
baseline,18,2.297605619,2.297605619,0,"0,1"
prio,18,2.153898741,2.153898741,0,"0,1"
baseline,19,2.150933623,2.150933623,0,"0,1"
prio,19,2.151147193,2.151147193,0,"0,1"
