program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,1.771502833,1.771502833,0,"0,1"
prio,0,1.886167191,1.886167191,0,"0,1"
baseline,1,1.744790838,1.744790838,0,"0,1"
prio,1,1.749548118,1.749548118,0,"0,1"
baseline,2,1.733259740,1.733259740,0,"0,1"
prio,2,1.740088208,1.740088208,0,"0,1"
baseline,3,1.717670456,1.717670456,0,"0,1"
prio,3,1.735015386,1.735015386,0,"0,1"
baseline,4,1.763737449,1.763737449,0,"0,1"
prio,4,1.808273349,1.808273349,0,"0,1"
baseline,5,1.911505758,1.911505758,0,"0,1"
prio,5,1.919624424,1.919624424,0,"0,1"
baseline,6,1.876927943,1.876927943,0,"0,1"
prio,6,1.811218023,1.811218023,0,"0,1"
baseline,7,1.845156660,1.845156660,0,"0,1"
prio,7,1.904284094,1.904284094,0,"0,1"
baseline,8,1.840528701,1.840528701,0,"0,1"
prio,8,1.966045689,1.966045689,0,"0,1"
baseline,9,1.816318398,1.816318398,0,"0,1"
prio,9,1.870180169,1.870180169,0,"0,1"
baseline,10,1.885066004,1.885066004,0,"0,1"
prio,10,1.833728629,1.833728629,0,"0,1"
baseline,11,1.856985032,1.856985032,0,"0,1"
prio,11,1.881827291,1.881827291,0,"0,1"
baseline,12,1.972517654,1.972517654,0,"0,1"
prio,12,1.924948931,1.924948931,0,"0,1"
baseline,13,1.936089833,1.936089833,0,"0,1"
prio,13,1.868682369,1.868682369,0,"0,1"
baseline,14,1.923387991,1.923387991,0,"0,1"
prio,14,1.895709556,1.895709556,0,"0,1"
baseline,15,1.836119161,1.836119161,0,"0,1"
prio,15,1.838009536,1.838009536,0,"0,1"
baseline,16,1.913111489,1.913111489,0,"0,1"
prio,16,1.922158217,1.922158217,0,"0,1"
baseline,17,1.863910981,1.863910981,0,"0,1"
prio,17,1.825576020,1.825576020,0,"0,1"
baseline,18,1.832651299,1.832651299,0,"0,1"
prio,18,1.858651647,1.858651647,0,"0,1"
baseline,19,1.855618951,1.855618951,0,"0,1"
prio,19,1.883830855,1.883830855,0,"0,1"
