program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,2.152989444,2.152989444,0,"0,1"
prio,0,2.133597063,2.133597063,0,"0,1"
baseline,1,2.078277756,2.078277756,0,"0,1"
prio,1,2.098111069,2.098111069,0,"0,1"
baseline,2,2.155612766,2.155612766,0,"0,1"
prio,2,2.258126236,2.258126236,0,"0,1"
baseline,3,2.230365448,2.230365448,0,"0,1"
prio,3,2.175346368,2.175346368,0,"0,1"
baseline,4,2.177948243,2.177948243,0,"0,1"
prio,4,2.141392977,2.141392977,0,"0,1"
baseline,5,2.094762040,2.094762040,0,"0,1"
prio,5,2.185950454,2.185950454,0,"0,1"
baseline,6,2.139771340,2.139771340,0,"0,1"
prio,6,2.091205252,2.091205252,0,"0,1"
baseline,7,2.289243458,2.289243458,0,"0,1"
prio,7,2.124801234,2.124801234,0,"0,1"
baseline,8,2.105445234,2.105445234,0,"0,1"
prio,8,2.095348729,2.095348729,0,"0,1"
baseline,9,2.089734304,2.089734304,0,"0,1"
prio,9,2.125313588,2.125313588,0,"0,1"
baseline,10,2.231985222,2.231985222,0,"0,1"
prio,10,2.276722201,2.276722201,0,"0,1"
baseline,11,2.127014033,2.127014033,0,"0,1"
prio,11,2.125513999,2.125513999,0,"0,1"
baseline,12,2.108667047,2.108667047,0,"0,1"
prio,12,2.251809860,2.251809860,0,"0,1"
baseline,13,2.251196809,2.251196809,0,"0,1"
prio,13,2.156201060,2.156201060,0,"0,1"
baseline,14,2.160961328,2.160961328,0,"0,1"
prio,14,2.183732761,2.183732761,0,"0,1"
baseline,15,2.098219112,2.098219112,0,"0,1"
prio,15,2.216762916,2.216762916,0,"0,1"
baseline,16,2.223802256,2.223802256,0,"0,1"
prio,16,2.156745942,2.156745942,0,"0,1"
baseline,17,2.250430533,2.250430533,0,"0,1"
prio,17,2.152678114,2.152678114,0,"0,1"
baseline,18,2.207598968,2.207598968,0,"0,1"
prio,18,2.219462187,2.219462187,0,"0,1"
baseline,19,2.182879071,2.182879071,0,"0,1"
prio,19,2.215170326,2.215170326,0,"0,1"
