program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,1.899953313,1.899953313,0,"0,1"
prio,0,1.885342730,1.885342730,0,"0,1"
baseline,1,1.893100167,1.893100167,0,"0,1"
prio,1,1.873465749,1.873465749,0,"0,1"
baseline,2,1.810049312,1.810049312,0,"0,1"
prio,2,1.751593696,1.751593696,0,"0,1"
baseline,3,1.744800395,1.744800395,0,"0,1"
prio,3,1.781083541,1.781083541,0,"0,1"
baseline,4,1.880794183,1.880794183,0,"0,1"
prio,4,1.820738996,1.820738996,0,"0,1"
baseline,5,1.774491853,1.774491853,0,"0,1"
prio,5,1.726872429,1.726872429,0,"0,1"
baseline,6,1.754846477,1.754846477,0,"0,1"
prio,6,1.743038501,1.743038501,0,"0,1"
baseline,7,1.752658914,1.752658914,0,"0,1"
prio,7,1.821149488,1.821149488,0,"0,1"
baseline,8,1.857393344,1.857393344,0,"0,1"
prio,8,1.862964772,1.862964772,0,"0,1"
baseline,9,1.810549890,1.810549890,0,"0,1"
prio,9,1.865516403,1.865516403,0,"0,1"
baseline,10,1.816807925,1.816807925,0,"0,1"
prio,10,1.884672729,1.884672729,0,"0,1"
baseline,11,1.802952077,1.802952077,0,"0,1"
prio,11,1.795610163,1.795610163,0,"0,1"
baseline,12,1.846322131,1.846322131,0,"0,1"
prio,12,1.797975351,1.797975351,0,"0,1"
baseline,13,1.895685620,1.895685620,0,"0,1"
prio,13,1.856374553,1.856374553,0,"0,1"
baseline,14,1.840575228,1.840575228,0,"0,1"
prio,14,1.850518070,1.850518070,0,"0,1"
baseline,15,1.879073816,1.879073816,0,"0,1"
prio,15,1.902765850,1.902765850,0,"0,1"
baseline,16,1.882755572,1.882755572,0,"0,1"
prio,16,1.816097689,1.816097689,0,"0,1"
baseline,17,1.840447374,1.840447374,0,"0,1"
prio,17,1.812352491,1.812352491,0,"0,1"
baseline,18,1.793019645,1.793019645,0,"0,1"
prio,18,1.800534869,1.800534869,0,"0,1"
baseline,19,1.833665206,1.833665206,0,"0,1"
prio,19,1.890565413,1.890565413,0,"0,1"
