program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,2.218370897,2.218370897,0,"0,1"
prio,0,2.203905137,2.203905137,0,"0,1"
baseline,1,2.173274058,2.173274058,0,"0,1"
prio,1,2.131844624,2.131844624,0,"0,1"
baseline,2,2.241122277,2.241122277,0,"0,1"
prio,2,2.221193940,2.221193940,0,"0,1"
baseline,3,2.179603343,2.179603343,0,"0,1"
prio,3,2.206518042,2.206518042,0,"0,1"
baseline,4,2.162523848,2.162523848,0,"0,1"
prio,4,2.086686365,2.086686365,0,"0,1"
baseline,5,2.080889423,2.080889423,0,"0,1"
prio,5,2.171738852,2.171738852,0,"0,1"
baseline,6,2.149153543,2.149153543,0,"0,1"
prio,6,2.169701559,2.169701559,0,"0,1"
baseline,7,2.102282002,2.102282002,0,"0,1"
prio,7,2.107255478,2.107255478,0,"0,1"
baseline,8,2.036934532,2.036934532,0,"0,1"
prio,8,2.167125438,2.167125438,0,"0,1"
baseline,9,2.329827682,2.329827682,0,"0,1"
prio,9,2.185410187,2.185410187,0,"0,1"
baseline,10,2.197694345,2.197694345,0,"0,1"
prio,10,2.215203421,2.215203421,0,"0,1"
baseline,11,2.278721195,2.278721195,0,"0,1"
prio,11,2.247779618,2.247779618,0,"0,1"
baseline,12,2.290542668,2.290542668,0,"0,1"
prio,12,2.612795140,2.612795140,0,"0,1"
baseline,13,2.601014244,2.601014244,0,"0,1"
prio,13,2.285402329,2.285402329,0,"0,1"
baseline,14,2.220692500,2.220692500,0,"0,1"
prio,14,2.240266298,2.240266298,0,"0,1"
baseline,15,2.148958819,2.148958819,0,"0,1"
prio,15,2.224792715,2.224792715,0,"0,1"
baseline,16,2.112264433,2.112264433,0,"0,1"
prio,16,2.130474545,2.130474545,0,"0,1"
baseline,17,2.145470555,2.145470555,0,"0,1"
prio,17,2.154524226,2.154524226,0,"0,1"
baseline,18,2.112567381,2.112567381,0,"0,1"
prio,18,2.107315787,2.107315787,0,"0,1"
baseline,19,2.111186025,2.111186025,0,"0,1"
prio,19,2.083638761,2.083638761,0,"0,1"
