program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.909982208,0.917237334,1,"0,1"
prio,0,0.650338500,0.657844135,1,"0,1"
baseline,1,0.940255168,0.949815127,1,"0,1"
prio,1,0.649910917,0.657485646,1,"0,1"
baseline,2,0.930720000,0.938274369,1,"0,1"
prio,2,0.650633667,0.658445526,1,"0,1"
baseline,3,0.809481458,0.817214415,1,"0,1"
prio,3,0.649492667,0.657091549,1,"0,1"
baseline,4,0.885627167,0.894382687,1,"0,1"
prio,4,0.650211333,0.657709878,1,"0,1"
baseline,5,6.506466462,6.514234633,1,"0,1"
prio,5,7.159943587,7.167956811,1,"0,1"
baseline,6,1.522248001,1.577268907,1,"0,1"
prio,6,0.648847792,0.665507599,1,"0,1"
baseline,7,1.665002209,1.682221805,1,"0,1"
prio,7,0.649878834,0.671366162,1,"0,1"
baseline,8,1.658874585,1.675388060,1,"0,1"
prio,8,0.650316042,0.667923191,1,"0,1"
baseline,9,1.658522250,1.677772428,1,"0,1"
prio,9,0.649709083,0.664287718,1,"0,1"
