program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.124640838,0.124640838,0,"0,1"
prio,0,0.111572091,0.111572091,0,"0,1"
baseline,1,0.109728751,0.109728751,0,"0,1"
prio,1,0.100597417,0.100597417,0,"0,1"
baseline,2,0.110040711,0.110040711,0,"0,1"
prio,2,0.101958136,0.101958136,0,"0,1"
baseline,3,0.098190109,0.098190109,0,"0,1"
prio,3,0.097292913,0.097292913,0,"0,1"
baseline,4,0.098379853,0.098379853,0,"0,1"
prio,4,0.098522496,0.098522496,0,"0,1"
baseline,5,0.098315086,0.098315086,0,"0,1"
prio,5,0.097204039,0.097204039,0,"0,1"
baseline,6,0.097141614,0.097141614,0,"0,1"
prio,6,0.096211713,0.096211713,0,"0,1"
baseline,7,0.100241899,0.100241899,0,"0,1"
prio,7,0.097684028,0.097684028,0,"0,1"
baseline,8,0.097119659,0.097119659,0,"0,1"
prio,8,0.098373067,0.098373067,0,"0,1"
baseline,9,0.097028944,0.097028944,0,"0,1"
prio,9,0.096613377,0.096613377,0,"0,1"
baseline,10,0.110428102,0.110428102,0,"0,1"
prio,10,0.098247307,0.098247307,0,"0,1"
baseline,11,0.099501365,0.099501365,0,"0,1"
prio,11,0.097900743,0.097900743,0,"0,1"
baseline,12,0.097205698,0.097205698,0,"0,1"
prio,12,0.090113676,0.090113676,0,"0,1"
baseline,13,0.098272800,0.098272800,0,"0,1"
prio,13,0.096671748,0.096671748,0,"0,1"
baseline,14,0.099344506,0.099344506,0,"0,1"
prio,14,0.097169540,0.097169540,0,"0,1"
baseline,15,0.098570650,0.098570650,0,"0,1"
prio,15,0.097888329,0.097888329,0,"0,1"
baseline,16,0.099591615,0.099591615,0,"0,1"
prio,16,0.098319073,0.098319073,0,"0,1"
baseline,17,0.099663298,0.099663298,0,"0,1"
prio,17,0.096962269,0.096962269,0,"0,1"
baseline,18,0.100795342,0.100795342,0,"0,1"
prio,18,0.099198472,0.099198472,0,"0,1"
baseline,19,0.096644946,0.096644946,0,"0,1"
prio,19,0.098450895,0.098450895,0,"0,1"
