program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.064085842,0.064085842,0,"0,1"
prio,0,0.054341401,0.054341401,0,"0,1"
baseline,1,0.053240166,0.053240166,0,"0,1"
prio,1,0.054448380,0.054448380,0,"0,1"
baseline,2,0.057214785,0.057214785,0,"0,1"
prio,2,0.054037726,0.054037726,0,"0,1"
baseline,3,0.052034787,0.052034787,0,"0,1"
prio,3,0.074825761,0.074825761,0,"0,1"
baseline,4,0.057929490,0.057929490,0,"0,1"
prio,4,0.053871773,0.053871773,0,"0,1"
baseline,5,0.053384329,0.053384329,0,"0,1"
prio,5,0.054416340,0.054416340,0,"0,1"
baseline,6,0.051514181,0.051514181,0,"0,1"
prio,6,0.053385041,0.053385041,0,"0,1"
baseline,7,0.077059236,0.077059236,0,"0,1"
prio,7,0.053975454,0.053975454,0,"0,1"
baseline,8,0.054965190,0.054965190,0,"0,1"
prio,8,0.055119587,0.055119587,0,"0,1"
baseline,9,0.052910971,0.052910971,0,"0,1"
prio,9,0.053085752,0.053085752,0,"0,1"
baseline,10,0.055760703,0.055760703,0,"0,1"
prio,10,0.056670630,0.056670630,0,"0,1"
baseline,11,0.053646272,0.053646272,0,"0,1"
prio,11,0.052476940,0.052476940,0,"0,1"
baseline,12,0.053577655,0.053577655,0,"0,1"
prio,12,0.051829537,0.051829537,0,"0,1"
baseline,13,0.050702573,0.050702573,0,"0,1"
prio,13,0.051629752,0.051629752,0,"0,1"
baseline,14,0.050706152,0.050706152,0,"0,1"
prio,14,0.052207959,0.052207959,0,"0,1"
baseline,15,0.052084605,0.052084605,0,"0,1"
prio,15,0.050539681,0.050539681,0,"0,1"
baseline,16,0.052625567,0.052625567,0,"0,1"
prio,16,0.052692373,0.052692373,0,"0,1"
baseline,17,0.053054286,0.053054286,0,"0,1"
prio,17,0.051429164,0.051429164,0,"0,1"
baseline,18,0.050642174,0.050642174,0,"0,1"
prio,18,0.051238536,0.051238536,0,"0,1"
baseline,19,0.051007167,0.051007167,0,"0,1"
prio,19,0.054521419,0.054521419,0,"0,1"
