program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,2.356210691,2.356210691,0,"0,1"
prio,0,2.382510440,2.382510440,0,"0,1"
baseline,1,2.548599507,2.548599507,0,"0,1"
prio,1,2.393027994,2.393027994,0,"0,1"
baseline,2,2.392213748,2.392213748,0,"0,1"
prio,2,2.458125925,2.458125925,0,"0,1"
baseline,3,2.412050094,2.412050094,0,"0,1"
prio,3,2.369610964,2.369610964,0,"0,1"
baseline,4,2.374111823,2.374111823,0,"0,1"
prio,4,2.480585973,2.480585973,0,"0,1"
baseline,5,2.501404236,2.501404236,0,"0,1"
prio,5,2.402260508,2.402260508,0,"0,1"
baseline,6,2.404884290,2.404884290,0,"0,1"
prio,6,2.532384764,2.532384764,0,"0,1"
baseline,7,2.443928052,2.443928052,0,"0,1"
prio,7,2.421052882,2.421052882,0,"0,1"
baseline,8,2.499676467,2.499676467,0,"0,1"
prio,8,2.493753147,2.493753147,0,"0,1"
baseline,9,2.363423210,2.363423210,0,"0,1"
prio,9,2.377734673,2.377734673,0,"0,1"
