program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.260664553,0.263828932,1,"0,1"
prio,0,0.280353713,0.283501473,1,"0,1"
baseline,1,0.272906427,0.276045297,1,"0,1"
prio,1,0.257621807,0.260879953,1,"0,1"
baseline,2,0.265641666,0.268623300,1,"0,1"
prio,2,0.264794371,0.289528659,1,"0,1"
baseline,3,0.284081480,0.302624816,1,"0,1"
prio,3,0.269793320,0.272765904,1,"0,1"
baseline,4,0.267229622,0.270402827,1,"0,1"
prio,4,0.272774122,0.275889628,1,"0,1"
baseline,5,0.278561298,0.281511471,1,"0,1"
prio,5,0.261101999,0.264125374,1,"0,1"
baseline,6,0.281373050,0.305878281,1,"0,1"
prio,6,0.272782828,0.281383149,1,"0,1"
baseline,7,0.281458824,0.285428562,1,"0,1"
prio,7,0.257885084,0.260833913,1,"0,1"
baseline,8,0.280279795,0.283178048,1,"0,1"
prio,8,0.256352650,0.259343514,1,"0,1"
baseline,9,0.264505948,0.267452956,1,"0,1"
prio,9,0.262681522,0.281778968,1,"0,1"
