program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.245048278,0.247994365,1,"0,1"
prio,0,0.214164377,0.217126204,1,"0,1"
baseline,1,0.277906500,0.280977501,1,"0,1"
prio,1,0.214337333,0.217887360,1,"0,1"
baseline,2,0.262926566,0.292514489,1,"0,1"
prio,2,0.226007411,0.256671964,1,"0,1"
baseline,3,0.325677812,0.335643679,1,"0,1"
prio,3,0.214225097,0.217161043,1,"0,1"
baseline,4,0.266343137,0.269313166,1,"0,1"
prio,4,0.216822576,0.219945467,1,"0,1"
baseline,5,0.231248859,0.234225234,1,"0,1"
prio,5,0.214887367,0.218021816,1,"0,1"
baseline,6,0.251062354,0.254200290,1,"0,1"
prio,6,0.235653872,0.270633415,1,"0,1"
baseline,7,0.271006497,0.297493893,1,"0,1"
prio,7,0.237661930,0.262452539,1,"0,1"
baseline,8,0.308111917,0.311144394,1,"0,1"
prio,8,0.247623352,0.250803715,1,"0,1"
baseline,9,0.266306035,0.269302302,1,"0,1"
prio,9,0.228041288,0.231612650,1,"0,1"
