program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.266689914,0.269882281,1,"0,1"
prio,0,0.239600581,0.243039502,1,"0,1"
baseline,1,0.268089234,0.271392637,1,"0,1"
prio,1,0.238160320,0.253307862,1,"0,1"
baseline,2,0.325453026,0.357467756,1,"0,1"
prio,2,0.239963359,0.244273354,1,"0,1"
baseline,3,0.286383059,0.289897551,1,"0,1"
prio,3,0.247002788,0.251091622,1,"0,1"
baseline,4,0.302912772,0.306442930,1,"0,1"
prio,4,0.240492806,0.244410433,1,"0,1"
baseline,5,0.353831919,0.384160181,1,"0,1"
prio,5,0.241281965,0.261058985,1,"0,1"
baseline,6,0.268189373,0.271607507,1,"0,1"
prio,6,0.235232598,0.238793926,1,"0,1"
baseline,7,0.298383082,0.302201168,1,"0,1"
prio,7,0.238526034,0.242191274,1,"0,1"
baseline,8,0.270585129,0.273960442,1,"0,1"
prio,8,0.234595398,0.249539873,1,"0,1"
baseline,9,0.316586700,0.347528658,1,"0,1"
prio,9,0.239700996,0.243378067,1,"0,1"
