program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.285226782,0.289209019,1,"0,1"
prio,0,0.237558117,0.241789995,1,"0,1"
baseline,1,0.263062233,0.267194740,1,"0,1"
prio,1,0.247295886,0.250757729,1,"0,1"
baseline,2,0.301657565,0.333117263,1,"0,1"
prio,2,0.241132041,0.250788705,1,"0,1"
baseline,3,0.295906873,0.299417678,1,"0,1"
prio,3,0.235429490,0.238830773,1,"0,1"
baseline,4,0.295671198,0.299469997,1,"0,1"
prio,4,0.242503092,0.246212533,1,"0,1"
baseline,5,0.252022344,0.255669465,1,"0,1"
prio,5,0.243352012,0.247417002,1,"0,1"
baseline,6,0.299072905,0.326866424,1,"0,1"
prio,6,0.244430780,0.258836976,1,"0,1"
baseline,7,0.272265086,0.275686972,1,"0,1"
prio,7,0.240255178,0.243764388,1,"0,1"
baseline,8,0.303192972,0.306763289,1,"0,1"
prio,8,0.243908352,0.247773510,1,"0,1"
baseline,9,0.264812624,0.268410210,1,"0,1"
prio,9,0.240821978,0.261364995,1,"0,1"
