program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.285306153,0.289547583,1,"0,1"
prio,0,0.246876107,0.250658736,1,"0,1"
baseline,1,0.289244914,0.292846624,1,"0,1"
prio,1,0.242560110,0.247438987,1,"0,1"
baseline,2,0.277812581,0.305313077,1,"0,1"
prio,2,0.251250067,0.283985092,1,"0,1"
baseline,3,0.300196299,0.304871552,1,"0,1"
prio,3,0.242511393,0.246321059,1,"0,1"
baseline,4,0.291792370,0.295135825,1,"0,1"
prio,4,0.256151236,0.260326022,1,"0,1"
baseline,5,0.309603730,0.314131347,1,"0,1"
prio,5,0.237504810,0.241672939,1,"0,1"
baseline,6,0.345657056,0.370550237,1,"0,1"
prio,6,0.242170311,0.252645417,1,"0,1"
baseline,7,0.257958513,0.261235473,1,"0,1"
prio,7,0.248995350,0.252730047,1,"0,1"
baseline,8,0.305880465,0.309628832,1,"0,1"
prio,8,0.244496430,0.248160967,1,"0,1"
baseline,9,0.269089786,0.272605133,1,"0,1"
prio,9,0.239811082,0.259893939,1,"0,1"
