program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.287169886,0.291387366,1,"0,1"
prio,0,0.239404763,0.243899842,1,"0,1"
baseline,1,0.299848414,0.303768377,1,"0,1"
prio,1,0.250289296,0.254008323,1,"0,1"
baseline,2,0.307518923,0.316122953,1,"0,1"
prio,2,0.248576472,0.263541730,1,"0,1"
baseline,3,0.292058290,0.306770092,1,"0,1"
prio,3,0.248408495,0.252511352,1,"0,1"
baseline,4,0.322303724,0.327601596,1,"0,1"
prio,4,0.246913352,0.250480674,1,"0,1"
baseline,5,0.292759030,0.296425353,1,"0,1"
prio,5,0.236286521,0.240863346,1,"0,1"
baseline,6,0.338878860,0.363824254,1,"0,1"
prio,6,0.238815961,0.259161141,1,"0,1"
baseline,7,0.253568867,0.256950795,1,"0,1"
prio,7,0.240079075,0.245180202,1,"0,1"
baseline,8,0.289387989,0.293530027,1,"0,1"
prio,8,0.245417274,0.249197393,1,"0,1"
baseline,9,0.297724338,0.301466581,1,"0,1"
prio,9,0.249160021,0.275580162,1,"0,1"
