program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,5.795371138,5.795371138,0,"0,1"
prio,0,5.481033572,5.481033572,0,"0,1"
baseline,1,5.339003943,5.339003943,0,"0,1"
prio,1,5.607076696,5.607076696,0,"0,1"
baseline,2,5.305120961,5.305120961,0,"0,1"
prio,2,4.956404016,4.956404016,0,"0,1"
baseline,3,4.994054271,4.994054271,0,"0,1"
prio,3,5.538532496,5.538532496,0,"0,1"
baseline,4,5.262963643,5.262963643,0,"0,1"
prio,4,5.441813825,5.441813825,0,"0,1"
baseline,5,5.215688748,5.215688748,0,"0,1"
prio,5,5.194181313,5.194181313,0,"0,1"
baseline,6,5.488302642,5.488302642,0,"0,1"
prio,6,5.069427755,5.069427755,0,"0,1"
baseline,7,5.597501217,5.597501217,0,"0,1"
prio,7,5.173818567,5.173818567,0,"0,1"
baseline,8,5.607306632,5.607306632,0,"0,1"
prio,8,5.210844368,5.210844368,0,"0,1"
baseline,9,5.491418892,5.491418892,0,"0,1"
prio,9,5.109708632,5.109708632,0,"0,1"
baseline,10,5.382851957,5.382851957,0,"0,1"
prio,10,5.610268463,5.610268463,0,"0,1"
baseline,11,5.392840895,5.392840895,0,"0,1"
prio,11,5.027198934,5.027198934,0,"0,1"
baseline,12,5.469193199,5.469193199,0,"0,1"
prio,12,5.148988666,5.148988666,0,"0,1"
baseline,13,5.482116319,5.482116319,0,"0,1"
prio,13,5.014473165,5.014473165,0,"0,1"
baseline,14,5.496517628,5.496517628,0,"0,1"
prio,14,4.947170949,4.947170949,0,"0,1"
baseline,15,5.934607652,5.934607652,0,"0,1"
prio,15,5.068245092,5.068245092,0,"0,1"
baseline,16,5.922761249,5.922761249,0,"0,1"
prio,16,6.461540864,6.461540864,0,"0,1"
baseline,17,6.141955112,6.141955112,0,"0,1"
prio,17,5.046808113,5.046808113,0,"0,1"
baseline,18,5.747510348,5.747510348,0,"0,1"
prio,18,6.112950944,6.112950944,0,"0,1"
baseline,19,5.906360416,5.906360416,0,"0,1"
prio,19,5.433782715,5.433782715,0,"0,1"
baseline,20,5.012154645,5.012154645,0,"0,1"
prio,20,4.983653182,4.983653182,0,"0,1"
baseline,21,5.268387714,5.268387714,0,"0,1"
prio,21,4.932786445,4.932786445,0,"0,1"
baseline,22,5.320168177,5.320168177,0,"0,1"
prio,22,5.047433732,5.047433732,0,"0,1"
baseline,23,5.443887279,5.443887279,0,"0,1"
prio,23,5.916511763,5.916511763,0,"0,1"
baseline,24,5.787966084,5.787966084,0,"0,1"
prio,24,5.035292198,5.035292198,0,"0,1"
baseline,25,5.452326259,5.452326259,0,"0,1"
prio,25,5.013702144,5.013702144,0,"0,1"
baseline,26,5.308429742,5.308429742,0,"0,1"
prio,26,5.734327215,5.734327215,0,"0,1"
baseline,27,5.320792481,5.320792481,0,"0,1"
prio,27,5.598487817,5.598487817,0,"0,1"
baseline,28,5.328570077,5.328570077,0,"0,1"
prio,28,5.603678183,5.603678183,0,"0,1"
baseline,29,5.330358525,5.330358525,0,"0,1"
prio,29,5.036361257,5.036361257,0,"0,1"
baseline,30,5.283911163,5.283911163,0,"0,1"
prio,30,5.066302497,5.066302497,0,"0,1"
baseline,31,5.490922059,5.490922059,0,"0,1"
prio,31,6.346654233,6.346654233,0,"0,1"
baseline,32,5.825163388,5.825163388,0,"0,1"
prio,32,5.934254470,5.934254470,0,"0,1"
baseline,33,5.809651213,5.809651213,0,"0,1"
prio,33,5.193104145,5.193104145,0,"0,1"
baseline,34,6.064264572,6.064264572,0,"0,1"
prio,34,6.460654658,6.460654658,0,"0,1"
baseline,35,6.076182603,6.076182603,0,"0,1"
prio,35,5.032033470,5.032033470,0,"0,1"
baseline,36,5.405855840,5.405855840,0,"0,1"
prio,36,5.580015280,5.580015280,0,"0,1"
baseline,37,5.288672161,5.288672161,0,"0,1"
prio,37,5.385873521,5.385873521,0,"0,1"
baseline,38,5.234554363,5.234554363,0,"0,1"
prio,38,4.989223475,4.989223475,0,"0,1"
baseline,39,5.288354414,5.288354414,0,"0,1"
prio,39,5.231183682,5.231183682,0,"0,1"
baseline,40,5.749593521,5.749593521,0,"0,1"
prio,40,6.250873679,6.250873679,0,"0,1"
baseline,41,5.588838359,5.588838359,0,"0,1"
prio,41,5.091427250,5.091427250,0,"0,1"
baseline,42,5.434351706,5.434351706,0,"0,1"
prio,42,5.081394533,5.081394533,0,"0,1"
baseline,43,5.376808214,5.376808214,0,"0,1"
prio,43,5.087535825,5.087535825,0,"0,1"
baseline,44,5.348867717,5.348867717,0,"0,1"
prio,44,5.542043372,5.542043372,0,"0,1"
baseline,45,5.225754852,5.225754852,0,"0,1"
prio,45,5.043982670,5.043982670,0,"0,1"
baseline,46,5.394844511,5.394844511,0,"0,1"
prio,46,4.970757000,4.970757000,0,"0,1"
baseline,47,5.346111897,5.346111897,0,"0,1"
prio,47,5.014962642,5.014962642,0,"0,1"
baseline,48,5.724892913,5.724892913,0,"0,1"
prio,48,6.456901805,6.456901805,0,"0,1"
baseline,49,6.133305950,6.133305950,0,"0,1"
prio,49,5.013968377,5.013968377,0,"0,1"
