program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.522195000,0.539005512,1,"6,7"
prio,0,0.458364375,0.467469088,1,"6,7"
baseline,1,0.464794751,0.473474284,1,"6,7"
prio,1,0.458853208,0.468046897,1,"6,7"
baseline,2,0.462689792,0.471264019,1,"6,7"
prio,2,0.460723667,0.470361310,1,"6,7"
baseline,3,0.462111708,0.482764295,1,"6,7"
prio,3,0.460745542,0.470071400,1,"6,7"
baseline,4,0.465461792,0.474692919,1,"6,7"
prio,4,0.459114833,0.468235931,1,"6,7"
baseline,5,0.463692834,0.472049815,1,"6,7"
prio,5,0.458887334,0.468186940,1,"6,7"
baseline,6,0.462855167,0.471304610,1,"6,7"
prio,6,0.459004000,0.468521205,1,"6,7"
baseline,7,0.463351000,0.472699097,1,"6,7"
prio,7,0.459606292,0.468797428,1,"6,7"
baseline,8,0.461447000,0.469878366,1,"6,7"
prio,8,0.458893167,0.468406891,1,"6,7"
baseline,9,0.462663541,0.471372896,1,"6,7"
prio,9,0.459366250,0.468460861,1,"6,7"
