program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.049061834,0.074270484,1,"6,7"
prio,0,0.025637042,0.041666989,1,"6,7"
baseline,1,0.026019583,0.041749156,1,"6,7"
prio,1,0.018563125,0.032034456,1,"6,7"
baseline,2,0.017785542,0.030231091,1,"6,7"
prio,2,0.016054791,0.028612641,1,"6,7"
baseline,3,0.015614667,0.027194107,1,"6,7"
prio,3,0.014312375,0.024976743,1,"6,7"
baseline,4,0.015613791,0.026173154,1,"6,7"
prio,4,0.014289625,0.024055373,1,"6,7"
baseline,5,0.015633042,0.025484241,1,"6,7"
prio,5,0.014266291,0.024816036,1,"6,7"
baseline,6,0.015676209,0.025775031,1,"6,7"
prio,6,0.016058292,0.027860437,1,"6,7"
baseline,7,0.017717584,0.029581844,1,"6,7"
prio,7,0.016061791,0.028010644,1,"6,7"
baseline,8,0.017699042,0.029515762,1,"6,7"
prio,8,0.016053625,0.028785307,1,"6,7"
baseline,9,0.015785292,0.027460063,1,"6,7"
prio,9,0.024404042,0.036194477,1,"6,7"
