program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.907570709,0.922996418,1,"6,7"
prio,0,0.751175542,0.760259595,1,"6,7"
baseline,1,0.774461334,0.783555510,1,"6,7"
prio,1,0.753894459,0.761867887,1,"6,7"
baseline,2,0.789854042,0.799862073,1,"6,7"
prio,2,0.790086500,0.799856537,1,"6,7"
baseline,3,1.069513376,1.078425712,1,"6,7"
prio,3,0.812246167,0.821697304,1,"6,7"
baseline,4,0.928790625,0.937849613,1,"6,7"
prio,4,0.913737293,0.927283936,1,"6,7"
baseline,5,0.751994834,0.760749356,1,"6,7"
prio,5,0.752539958,0.761857425,1,"6,7"
baseline,6,0.769500667,0.778857874,1,"6,7"
prio,6,0.796783459,0.806069793,1,"6,7"
baseline,7,0.751400417,0.760865751,1,"6,7"
prio,7,0.751878167,0.761088884,1,"6,7"
baseline,8,1.585116668,1.595123337,1,"6,7"
prio,8,0.917390292,0.931413072,1,"6,7"
baseline,9,0.775799792,0.784838951,1,"6,7"
prio,9,0.751256334,0.760515187,1,"6,7"
