program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,1.445089626,1.474451496,1,"6,7"
prio,0,0.974555459,0.983836171,1,"6,7"
baseline,1,1.906161626,1.916183556,1,"6,7"
prio,1,1.166913542,1.181610330,1,"6,7"
baseline,2,0.973273584,0.981678078,1,"6,7"
prio,2,0.972983959,0.981207024,1,"6,7"
baseline,3,0.973633500,0.982881523,1,"6,7"
prio,3,0.973360209,0.982339593,1,"6,7"
baseline,4,0.984275542,0.992610009,1,"6,7"
prio,4,0.990007083,0.999304796,1,"6,7"
baseline,5,0.989988709,0.999321421,1,"6,7"
prio,5,0.993447000,1.002722920,1,"6,7"
baseline,6,0.986869917,0.996159386,1,"6,7"
prio,6,0.989147251,0.998308146,1,"6,7"
baseline,7,0.990565042,0.999522384,1,"6,7"
prio,7,0.990518376,0.998876910,1,"6,7"
baseline,8,0.991253667,1.000514658,1,"6,7"
prio,8,0.989173209,0.998507651,1,"6,7"
baseline,9,0.990584001,0.999871518,1,"6,7"
prio,9,0.989271501,0.998489568,1,"6,7"
