program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.146912453,0.146912453,0,"1,2"
prio,0,0.089978007,0.089978007,0,"1,2"
baseline,1,0.092537324,0.092537324,0,"1,2"
prio,1,0.088705840,0.088705840,0,"1,2"
baseline,2,0.090881847,0.090881847,0,"1,2"
prio,2,0.088661146,0.088661146,0,"1,2"
baseline,3,0.090829339,0.090829339,0,"1,2"
prio,3,0.087446957,0.087446957,0,"1,2"
baseline,4,0.089737639,0.089737639,0,"1,2"
prio,4,0.092489792,0.092489792,0,"1,2"
baseline,5,0.091563014,0.091563014,0,"1,2"
prio,5,0.089963503,0.089963503,0,"1,2"
baseline,6,0.093249654,0.093249654,0,"1,2"
prio,6,0.091255018,0.091255018,0,"1,2"
baseline,7,0.091100721,0.091100721,0,"1,2"
prio,7,0.088406901,0.088406901,0,"1,2"
baseline,8,0.090015017,0.090015017,0,"1,2"
prio,8,0.087575434,0.087575434,0,"1,2"
baseline,9,0.090265094,0.090265094,0,"1,2"
prio,9,0.112908246,0.112908246,0,"1,2"
baseline,10,0.168399621,0.168399621,0,"1,2"
prio,10,0.095827109,0.095827109,0,"1,2"
baseline,11,0.090292261,0.090292261,0,"1,2"
prio,11,0.087782278,0.087782278,0,"1,2"
baseline,12,0.090757328,0.090757328,0,"1,2"
prio,12,0.089319738,0.089319738,0,"1,2"
baseline,13,0.091866073,0.091866073,0,"1,2"
prio,13,0.088469750,0.088469750,0,"1,2"
baseline,14,0.089481015,0.089481015,0,"1,2"
prio,14,0.090040115,0.090040115,0,"1,2"
baseline,15,0.091589393,0.091589393,0,"1,2"
prio,15,0.088587368,0.088587368,0,"1,2"
baseline,16,0.090535911,0.090535911,0,"1,2"
prio,16,0.089630685,0.089630685,0,"1,2"
baseline,17,0.092439528,0.092439528,0,"1,2"
prio,17,0.088149491,0.088149491,0,"1,2"
baseline,18,0.090277986,0.090277986,0,"1,2"
prio,18,0.088869629,0.088869629,0,"1,2"
baseline,19,0.090049948,0.090049948,0,"1,2"
prio,19,0.088462063,0.088462063,0,"1,2"
baseline,20,0.126548973,0.126548973,0,"1,2"
prio,20,0.124677485,0.124677485,0,"1,2"
baseline,21,0.138231091,0.138231091,0,"1,2"
prio,21,0.088103391,0.088103391,0,"1,2"
baseline,22,0.090414499,0.090414499,0,"1,2"
prio,22,0.089281596,0.089281596,0,"1,2"
baseline,23,0.091003602,0.091003602,0,"1,2"
prio,23,0.088158679,0.088158679,0,"1,2"
baseline,24,0.090490895,0.090490895,0,"1,2"
prio,24,0.086779174,0.086779174,0,"1,2"
baseline,25,0.089445356,0.089445356,0,"1,2"
prio,25,0.087728098,0.087728098,0,"1,2"
baseline,26,0.090223354,0.090223354,0,"1,2"
prio,26,0.089081628,0.089081628,0,"1,2"
baseline,27,0.090286098,0.090286098,0,"1,2"
prio,27,0.089547820,0.089547820,0,"1,2"
baseline,28,0.090277274,0.090277274,0,"1,2"
prio,28,0.087637595,0.087637595,0,"1,2"
baseline,29,0.092205867,0.092205867,0,"1,2"
prio,29,0.091010824,0.091010824,0,"1,2"
baseline,30,0.090581017,0.090581017,0,"1,2"
prio,30,0.101787646,0.101787646,0,"1,2"
baseline,31,0.157755249,0.157755249,0,"1,2"
prio,31,0.129603157,0.129603157,0,"1,2"
baseline,32,0.090774412,0.090774412,0,"1,2"
prio,32,0.088840844,0.088840844,0,"1,2"
baseline,33,0.089940203,0.089940203,0,"1,2"
prio,33,0.088745790,0.088745790,0,"1,2"
baseline,34,0.091338298,0.091338298,0,"1,2"
prio,34,0.087589040,0.087589040,0,"1,2"
baseline,35,0.090696779,0.090696779,0,"1,2"
prio,35,0.089373119,0.089373119,0,"1,2"
baseline,36,0.089909567,0.089909567,0,"1,2"
prio,36,0.088803018,0.088803018,0,"1,2"
baseline,37,0.089505939,0.089505939,0,"1,2"
prio,37,0.088492785,0.088492785,0,"1,2"
baseline,38,0.089015542,0.089015542,0,"1,2"
prio,38,0.091453404,0.091453404,0,"1,2"
baseline,39,0.091121108,0.091121108,0,"1,2"
prio,39,0.088255870,0.088255870,0,"1,2"
baseline,40,0.093025330,0.093025330,0,"1,2"
prio,40,0.090997093,0.090997093,0,"1,2"
baseline,41,0.125360851,0.125360851,0,"1,2"
prio,41,0.124960552,0.124960552,0,"1,2"
baseline,42,0.126424624,0.126424624,0,"1,2"
prio,42,0.105242747,0.105242747,0,"1,2"
baseline,43,0.090592436,0.090592436,0,"1,2"
prio,43,0.088609272,0.088609272,0,"1,2"
baseline,44,0.091230404,0.091230404,0,"1,2"
prio,44,0.087969523,0.087969523,0,"1,2"
baseline,45,0.089104591,0.089104591,0,"1,2"
prio,45,0.087959567,0.087959567,0,"1,2"
baseline,46,0.089492771,0.089492771,0,"1,2"
prio,46,0.087664294,0.087664294,0,"1,2"
baseline,47,0.091461764,0.091461764,0,"1,2"
prio,47,0.090697213,0.090697213,0,"1,2"
baseline,48,0.090760370,0.090760370,0,"1,2"
prio,48,0.090540964,0.090540964,0,"1,2"
baseline,49,0.092477878,0.092477878,0,"1,2"
prio,49,0.091572611,0.091572611,0,"1,2"
baseline,50,0.090728537,0.090728537,0,"1,2"
prio,50,0.086172080,0.086172080,0,"1,2"
baseline,51,0.089385768,0.089385768,0,"1,2"
prio,51,0.112316198,0.112316198,0,"1,2"
baseline,52,0.144019750,0.144019750,0,"1,2"
prio,52,0.116283437,0.116283437,0,"1,2"
baseline,53,0.102619944,0.102619944,0,"1,2"
prio,53,0.089217999,0.089217999,0,"1,2"
baseline,54,0.091510787,0.091510787,0,"1,2"
prio,54,0.087408701,0.087408701,0,"1,2"
baseline,55,0.089722886,0.089722886,0,"1,2"
prio,55,0.089171314,0.089171314,0,"1,2"
baseline,56,0.089316365,0.089316365,0,"1,2"
prio,56,0.088850132,0.088850132,0,"1,2"
baseline,57,0.089454241,0.089454241,0,"1,2"
prio,57,0.087909698,0.087909698,0,"1,2"
baseline,58,0.089891400,0.089891400,0,"1,2"
prio,58,0.089487029,0.089487029,0,"1,2"
baseline,59,0.087751304,0.087751304,0,"1,2"
prio,59,0.086251171,0.086251171,0,"1,2"
baseline,60,0.087572257,0.087572257,0,"1,2"
prio,60,0.087791063,0.087791063,0,"1,2"
baseline,61,0.089292111,0.089292111,0,"1,2"
prio,61,0.085794892,0.085794892,0,"1,2"
baseline,62,0.130014737,0.130014737,0,"1,2"
prio,62,0.109921672,0.109921672,0,"1,2"
baseline,63,0.130889310,0.130889310,0,"1,2"
prio,63,0.105615135,0.105615135,0,"1,2"
baseline,64,0.091663111,0.091663111,0,"1,2"
prio,64,0.093316154,0.093316154,0,"1,2"
baseline,65,0.098278968,0.098278968,0,"1,2"
prio,65,0.090225880,0.090225880,0,"1,2"
baseline,66,0.090477349,0.090477349,0,"1,2"
prio,66,0.088386962,0.088386962,0,"1,2"
baseline,67,0.090915586,0.090915586,0,"1,2"
prio,67,0.088341746,0.088341746,0,"1,2"
baseline,68,0.090933576,0.090933576,0,"1,2"
prio,68,0.088855320,0.088855320,0,"1,2"
baseline,69,0.090656075,0.090656075,0,"1,2"
prio,69,0.088916433,0.088916433,0,"1,2"
baseline,70,0.093328598,0.093328598,0,"1,2"
prio,70,0.092315718,0.092315718,0,"1,2"
baseline,71,0.090055077,0.090055077,0,"1,2"
prio,71,0.087781757,0.087781757,0,"1,2"
baseline,72,0.090496207,0.090496207,0,"1,2"
prio,72,0.103476044,0.103476044,0,"1,2"
baseline,73,0.171995035,0.171995035,0,"1,2"
prio,73,0.110621783,0.110621783,0,"1,2"
baseline,74,0.091046118,0.091046118,0,"1,2"
prio,74,0.091924388,0.091924388,0,"1,2"
baseline,75,0.091313763,0.091313763,0,"1,2"
prio,75,0.089576637,0.089576637,0,"1,2"
baseline,76,0.091752004,0.091752004,0,"1,2"
prio,76,0.091267257,0.091267257,0,"1,2"
baseline,77,0.091089542,0.091089542,0,"1,2"
prio,77,0.092029143,0.092029143,0,"1,2"
baseline,78,0.090384925,0.090384925,0,"1,2"
prio,78,0.088798371,0.088798371,0,"1,2"
baseline,79,0.090901109,0.090901109,0,"1,2"
prio,79,0.088577760,0.088577760,0,"1,2"
baseline,80,0.090619594,0.090619594,0,"1,2"
prio,80,0.091286635,0.091286635,0,"1,2"
baseline,81,0.089667195,0.089667195,0,"1,2"
prio,81,0.086951401,0.086951401,0,"1,2"
baseline,82,0.094837063,0.094837063,0,"1,2"
prio,82,0.092732026,0.092732026,0,"1,2"
baseline,83,0.130386481,0.130386481,0,"1,2"
prio,83,0.125426077,0.125426077,0,"1,2"
baseline,84,0.137157086,0.137157086,0,"1,2"
prio,84,0.087542075,0.087542075,0,"1,2"
baseline,85,0.089954582,0.089954582,0,"1,2"
prio,85,0.088873478,0.088873478,0,"1,2"
baseline,86,0.091660256,0.091660256,0,"1,2"
prio,86,0.089480566,0.089480566,0,"1,2"
baseline,87,0.089865454,0.089865454,0,"1,2"
prio,87,0.087746324,0.087746324,0,"1,2"
baseline,88,0.094564277,0.094564277,0,"1,2"
prio,88,0.090053987,0.090053987,0,"1,2"
baseline,89,0.092371378,0.092371378,0,"1,2"
prio,89,0.090631658,0.090631658,0,"1,2"
baseline,90,0.092680303,0.092680303,0,"1,2"
prio,90,0.088750776,0.088750776,0,"1,2"
baseline,91,0.091864966,0.091864966,0,"1,2"
prio,91,0.097781429,0.097781429,0,"1,2"
baseline,92,0.090715377,0.090715377,0,"1,2"
prio,92,0.089461586,0.089461586,0,"1,2"
baseline,93,0.110318951,0.110318951,0,"1,2"
prio,93,0.126702342,0.126702342,0,"1,2"
baseline,94,0.151353888,0.151353888,0,"1,2"
prio,94,0.110196705,0.110196705,0,"1,2"
baseline,95,0.091129229,0.091129229,0,"1,2"
prio,95,0.089665760,0.089665760,0,"1,2"
baseline,96,0.092682573,0.092682573,0,"1,2"
prio,96,0.088524650,0.088524650,0,"1,2"
baseline,97,0.091906224,0.091906224,0,"1,2"
prio,97,0.090002333,0.090002333,0,"1,2"
baseline,98,0.091892966,0.091892966,0,"1,2"
prio,98,0.090100309,0.090100309,0,"1,2"
baseline,99,0.090869038,0.090869038,0,"1,2"
prio,99,0.087384281,0.087384281,0,"1,2"
