program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,8.733866171,8.763689209,1,"0,1"
prio,0,8.436980713,8.498807360,1,"0,1"
baseline,1,8.794038171,8.825313145,1,"0,1"
prio,1,8.425125629,8.470685117,1,"0,1"
baseline,2,9.015206671,9.060667215,1,"0,1"
prio,2,8.615618546,8.657448305,1,"0,1"
baseline,3,8.991527130,9.024014580,1,"0,1"
prio,3,8.326714962,8.373127326,1,"0,1"
baseline,4,9.019896379,9.076605929,1,"0,1"
prio,4,8.375719045,8.441934815,1,"0,1"
baseline,5,9.188311421,9.223506448,1,"0,1"
prio,5,8.415087920,8.445360261,1,"0,1"
baseline,6,8.275657545,8.309794257,1,"0,1"
prio,6,8.800811171,8.842637001,1,"0,1"
baseline,7,8.691776046,8.753313128,1,"0,1"
prio,7,8.385071045,8.437159986,1,"0,1"
baseline,8,8.928019630,8.947998745,1,"0,1"
prio,8,8.423396045,8.458094396,1,"0,1"
baseline,9,9.047179171,9.077075955,1,"0,1"
prio,9,8.395052462,8.435935062,1,"0,1"
