program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.129659291,0.140658307,1,"6,7"
prio,0,0.065899167,0.073577233,1,"6,7"
baseline,1,0.041957417,0.048690927,1,"6,7"
prio,1,0.044741083,0.050055284,1,"6,7"
baseline,2,0.035508667,0.040127892,1,"6,7"
prio,2,0.039597250,0.044231171,1,"6,7"
baseline,3,0.033379208,0.058308809,1,"6,7"
prio,3,0.126017791,0.175590956,1,"6,7"
baseline,4,0.100695000,0.147315493,1,"6,7"
prio,4,0.075668250,0.092462646,1,"6,7"
baseline,5,0.048972000,0.083163317,1,"6,7"
prio,5,0.054316208,0.061005141,1,"6,7"
baseline,6,0.036268458,0.041562843,1,"6,7"
prio,6,0.039930333,0.045988458,1,"6,7"
baseline,7,0.032747750,0.037789772,1,"6,7"
prio,7,0.039136125,0.043789788,1,"6,7"
baseline,8,0.033544584,0.039032192,1,"6,7"
prio,8,0.039120375,0.043344338,1,"6,7"
baseline,9,0.032277000,0.036444379,1,"6,7"
prio,9,0.039146041,0.043200230,1,"6,7"
