program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.110857833,0.116937823,1,"0,1"
prio,0,0.109286334,0.115612080,1,"0,1"
baseline,1,0.117063917,0.123793471,1,"0,1"
prio,1,0.109110750,0.115115614,1,"0,1"
baseline,2,0.110003250,0.116827849,1,"0,1"
prio,2,0.109356917,0.115573862,1,"0,1"
baseline,3,0.167136375,0.203415925,1,"0,1"
prio,3,0.108767750,0.150858167,1,"0,1"
baseline,4,0.137464250,0.209243361,1,"0,1"
prio,4,0.109477667,0.138044689,1,"0,1"
baseline,5,0.255777083,0.500507452,1,"0,1"
prio,5,0.109392500,0.174086226,1,"0,1"
baseline,6,0.142976750,0.208608919,1,"0,1"
prio,6,0.129656334,0.137586142,1,"0,1"
baseline,7,0.257539625,0.271631427,1,"0,1"
prio,7,0.109863542,0.143533461,1,"0,1"
baseline,8,0.140961333,0.188926078,1,"0,1"
prio,8,0.109782750,0.134704803,1,"0,1"
baseline,9,0.145994916,0.243380411,1,"0,1"
prio,9,0.109062625,0.190085257,1,"0,1"
