program,iter,time_s,wall_s,parsed_from_stdout,cpu_set
baseline,0,0.441754125,0.467426389,1,"6,7"
prio,0,0.323148000,0.328182404,1,"6,7"
baseline,1,0.346744708,0.351507200,1,"6,7"
prio,1,0.313104166,0.317735589,1,"6,7"
baseline,2,0.347434792,0.351858368,1,"6,7"
prio,2,0.313078208,0.317861050,1,"6,7"
baseline,3,0.317222500,0.331541312,1,"6,7"
prio,3,0.313251750,0.323465104,1,"6,7"
baseline,4,0.349853875,0.355550070,1,"6,7"
prio,4,0.313154334,0.318018594,1,"6,7"
baseline,5,0.319304125,0.323972647,1,"6,7"
prio,5,0.313380084,0.317945430,1,"6,7"
baseline,6,0.340452875,0.360352680,1,"6,7"
prio,6,0.313521541,0.318536053,1,"6,7"
baseline,7,0.347704875,0.352432559,1,"6,7"
prio,7,0.313343042,0.318174141,1,"6,7"
baseline,8,0.341444541,0.346781838,1,"6,7"
prio,8,0.313998125,0.322804663,1,"6,7"
baseline,9,0.345139375,0.361312943,1,"6,7"
prio,9,0.313555667,0.330662422,1,"6,7"
